         10857816 function calls (10158985 primitive calls) in 16.977 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      281    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cgutils.py:56(create_struct_proxy)
      226    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     3936    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
       20    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\typing.py:868(__init__)
      766    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:455(__eq__)
      216    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\transforms.py:293(has_multiple_backedges)
       65    0.001    0.000    3.840    0.059 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
      245    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:61(replace)
     1252    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu_options.py:131(__init__)
       65    0.001    0.000    5.190    0.080 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        1    0.001    0.001   16.982   16.982 C:\Users\viola\OneDrive\Desktop\SoftEng\accelerating_lebwohllasher\LebwohlLasherNumba.py:322(main)
     1241    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:170(__init__)
     1800    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\bytecode.py:219(_patched_opargs)
      122    0.001    0.000    0.439    0.004 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:999(descr_body)
     1131    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:1240(register)
      198    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      115    0.001    0.000    0.015    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\llvm_bindings.py:36(create_pass_manager_builder)
     1088    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\abstract.py:443(literal_type)
     1734    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\targetconfig.py:201(is_set)
     1132    0.001    0.000    0.036    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cgutils.py:142(_get_ptr_by_index)
      631    0.001    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\models.py:135(contains_nrt_meminfo)
      396    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4372    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:27(astuple)
      190    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1759(typeof_call)
       58    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\untyped_passes.py:589(run_pass)
     1236    0.001    0.000    0.020    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\models.py:498(getter)
       20    0.001    0.000    0.257    0.013 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\npyimpl.py:478(numpy_ufunc_kernel)
       83    0.001    0.000    0.002    0.000 {function Pickler.dump at 0x000002CAEBBE0040}
     1118    0.001    0.000    0.493    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1006(descr)
     8018    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:348(_dispose)
     1118    0.001    0.000    0.495    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1013(__str__)
      535    0.001    0.000    0.024    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cgutils.py:149(__getattr__)
      134    0.001    0.000    0.014    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\packer.py:87(as_arguments)
      980    0.001    0.000    0.010    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1109(__repr__)
       47    0.001    0.000    7.986    0.170 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cpu.py:225(get_executable)
      651    0.001    0.000    0.065    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:480(apply)
      146    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1117(op_CALL)
     1261    0.001    0.000    0.002    0.000 <frozen ntpath>:564(normpath)
     3611    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:310(debug_print)
     2458    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:525(<genexpr>)
     4429    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:22(__init__)
      580    0.001    0.000    0.008    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\models.py:651(set)
       65    0.001    0.000    0.021    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\codegen.py:643(__init__)
       42    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\parfor.py:4759(_update_parfor_get_setitems)
     1200    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\array_analysis.py:671(define)
      609    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\module.py:52(__init__)
     1546    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:294(_is_implicit_new_block)
     2992    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
     2386    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1115(is_temp)
     3202    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:360(__getitem__)
     1362    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:364(replace_var_callback)
  576/330    0.001    0.000    0.157    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:153(refresh)
     4501    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\value.py:125(is_global)
      184    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1398(get_state_token)
     2458    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:528(<genexpr>)
      224    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:800(find_postive_region)
      550    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:62(assign)
  502/500    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
      744    0.001    0.000    0.045    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:1556(incref)
     3188    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:1535(require)
      266    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1604(__init__)
     1080    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\cffi_utils.py:29(is_ffi_instance)
       21    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\math\mathimpl.py:138(unary_math_extern)
       60    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\bytecode.py:549(from_function)
      114    0.001    0.000    0.025    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\arrayobj.py:97(shape)
       15    0.001    0.000    0.180    0.012 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\arrayobj.py:4175(_empty_nd_impl)
       58    0.001    0.000    0.058    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typed_passes.py:883(run_pass)
       35    0.001    0.000    0.031    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\parfor.py:4009(parfor_defs)
       58    0.001    0.000    0.136    0.002 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ssa.py:48(_run_ssa)
       58    0.001    0.000    0.181    0.003 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typed_passes.py:226(run_pass)
      492    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\contextlib.py:511(enter_context)
     1897    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:82(get_assignment_source)
       34    0.001    0.000    0.017    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\arrayobj.py:186(populate_array)
      407    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:858(ret)
      154    0.001    0.000    0.348    0.002 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\arrayobj.py:77(_make_refs)
       10    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\array_analysis.py:335(intersect)
      522    0.001    0.000    0.061    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typed_passes.py:702(get_func_type)
       60    0.001    0.000    0.190    0.003 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1041(build_constraint)
     2581    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        7    0.001    0.000    0.059    0.008 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\parfor.py:3696(get_parfor_reductions)
     2678    0.001    0.000    0.021    0.000 C:\Users\viola\miniconda3\Lib\copy.py:252(<genexpr>)
      135    0.001    0.000    0.008    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\typeof.py:90(_typeof_type)
      552    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\itanium_mangler.py:74(repl)
     4643    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:126(getone)
        2    0.001    0.000    0.305    0.152 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\parfor_lowering.py:1643(call_parallel_gufunc)
      239    0.001    0.000    0.069    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:1092(_init_once)
       58    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\untyped_passes.py:1646(run_pass)
      426    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:451(insert_unique_const)
       58    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\analysis.py:651(find_literally_calls)
      224    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1972(adapt_state_infos)
      142    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\packer.py:115(assign_names)
     18/8    0.001    0.000    0.104    0.013 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:589(remove_dead)
       60    0.001    0.000    0.011    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\targetconfig.py:290(get_mangle_string)
      369    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:751(try_static_impl)
     1361    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1114(add_attribute)
      238    0.001    0.000    0.023    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:246(finalize)
      288    0.001    0.000    0.043    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:1536(alloca_lltype)
      163    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:163(make_concrete_template)
  346/226    0.001    0.000    0.321    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\consts.py:24(infer_constant)
     1117    0.001    0.000    0.009    0.000 <frozen ntpath>:268(basename)
     1740    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\bytecode.py:81(__init__)
       83    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_sha1}
  199/169    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\array_analysis.py:833(_get_or_set_rel)
      317    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:144(count_spaces)
       58    0.001    0.000    0.012    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler.py:635(define_untyped_pipeline)
       52    0.001    0.000    0.055    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\callconv.py:520(unpack_exception)
     1560    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1825(has_active_try)
       58    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\untyped_passes.py:1692(run_pass)
      127    0.001    0.000    0.016    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\pythonapi.py:288(err_set_string)
     1260    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\dis.py:671(findlinestarts)
       60    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:823(_module_repr_from_spec)
      423    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:491(op_LOAD_FAST)
      104    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\common.py:49(__init__)
     1209    0.001    0.000    0.030    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\ffi.py:270(__exit__)
      532    0.001    0.000    0.018    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\transforms.py:306(yield_loops_with_multiple_backedges)
      233    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\dispatcher.py:676(__repr__)
      792    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\numpy_support.py:327(numpy_outputs)
     3056    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler_machinery.py:280(debug_print)
      752    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\npydecl.py:185(ufunc)
      882    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:26(module)
     2076    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:356(replace_name)
      360    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:422(descr)
      133    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\misc.py:134(__init__)
    73/33    0.001    0.000    0.017    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir_utils.py:396(visit_vars)
      174    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\untyped_passes.py:352(_do_work)
     1627    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:137(gep)
       60    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:1490(_legalize_exception_vars)
       60    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:271(apply_changes)
      527    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\types.py:452(_to_string)
      954    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1200(get_or_define)
   123/27    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\re\_compiler.py:37(_compile)
       66    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\ctypes\__init__.py:521(string_at)
     2250    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\npydecl.py:214(<genexpr>)
     2366    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:910(get_targets)
      682    0.001    0.000    0.019    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:219(_loops)
      311    0.001    0.000    0.054    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\extending.py:157(wrap)
       60    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1996(__init__)
     2195    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      250    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\pathlib.py:437(__str__)
      492    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\contextlib.py:543(_push_cm_exit)
     1516    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:443(is_for_this_target)
1209/1207    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\context.py:699(unify_pairs)
      415    0.001    0.000    0.025    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:1200(_has_loc)
       60    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typed_passes.py:193(run_pass)
       83    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\serialize.py:52(dumps)
     1546    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1926(is_in_exception)
      206    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:1840(fork)
     2092    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:31(__init__)
    60/40    0.001    0.000    5.428    0.136 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:182(lower)
     1486    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1179(get)
      175    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\cgutils.py:656(pack_array)
     3174    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\dis.py:195(_deoptop)
      507    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1111(copy_type)
1660/1645    0.001    0.000    0.011    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1187(get_exact)
       58    0.001    0.000    0.185    0.003 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\untyped_passes.py:1762(run_pass)
     2626    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\misc\llvm_pass_timings.py:292(record)
      123    0.001    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\importlib\metadata\__init__.py:810(read_text)
      340    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1045(__str__)
     2180    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:264(define)
     2967    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:890(get_targets)
       60    0.001    0.000    0.010    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\removerefctpass.py:37(_legalize)
      350    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\module.py:215(_get_metadata_lines)
      987    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:211(module)
      665    0.001    0.000    0.223    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1493(resolve_value_type)
      808    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\ufunc_db.py:34(get_ufunc_info)
     1868    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      531    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\packer.py:170(_build_unflatten_code)
      5/3    0.001    0.000    0.014    0.005 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\parfor.py:4996(push_call_vars)
       10    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\importlib\metadata\__init__.py:707(__init__)
      273    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\sigutils.py:22(normalize_signature)
      171    0.001    0.000    0.017    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:832(fold_call_args)
      226    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
       58    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ssa.py:102(_iterated_domfronts)
     1351    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\itanium_mangler.py:84(_fix_lead_digit)
       58    0.001    0.000    0.023    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ssa.py:176(_run_block_analysis)
       47    0.001    0.000    0.061    0.001 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\imputils.py:192(imp)
     58/4    0.001    0.000   16.397    4.099 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler.py:432(compile_extra)
      418    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:226(__init__)
       60    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:217(_prune_phis)
      195    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\packer.py:132(argument_types)
       58    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:420(_find_postorder)
      120    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\base.py:341(subtarget)
      210    0.001    0.000    0.005    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:320(if_else)
      360    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:419(__init__)
      243    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\instructions.py:316(__init__)
      243    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:629(select)
      247    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       60    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\ir.py:1522(copy)
   198/45    0.001    0.000    0.359    0.008 <frozen importlib._bootstrap_external>:989(exec_module)
      226    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1765(typeof_intrinsic_call)
  188/158    0.001    0.000    0.006    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\models.py:460(as_argument)
     5280    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\inspect.py:2782(name)
      145    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:715(_get_jit_decorator)
     2096    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\inspect.py:371(isfunction)
     1493    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\datamodel\packer.py:137(<genexpr>)
     1020    0.001    0.000    0.015    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\builder.py:579(icmp_signed)
      170    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\module.py:89(get_global_variable)
     1967    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler.py:360(__setattr__)
       46    0.001    0.000    0.002    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\parfors\array_analysis.py:3112(_gen_shape_call)
       49    0.001    0.000    0.020    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:954(generic)
     4306    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:45(return_type)
      116    0.001    0.000    0.007    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\extending.py:352(_register)
      237    0.001    0.000    0.013    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\lowering.py:818(_cast_var)
      415    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\context.py:13(__init__)
      201    0.001    0.000    0.008    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\np\arrayobj.py:44(set_range_metadata)
      233    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
      854    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typing\templates.py:280(get_impl_key)
      120    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\textwrap.py:419(dedent)
     3284    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:119(defined)
       60    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\compiler.py:364(_make_subtarget)
     1261    0.001    0.000    0.001    0.000 {built-in method nt._path_normpath}
     3503    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\interpreter.py:1770(current_scope)
     2065    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
      115    0.001    0.000    0.004    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\binding\module.py:151(triple)
       58    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:444(_find_immediate_dominators)
       60    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\byteflow.py:225(get_used_phis_per_state)
       83    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\cloudpickle\cloudpickle.py:1270(__init__)
       95    0.001    0.000    0.003    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\types\scalars.py:78(__init__)
      135    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:1014(_get_return_vars)
      622    0.001    0.000    0.019    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\controlflow.py:272(loops)
       60    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\numba\core\typeinfer.py:965(__init__)
     4057    0.001    0.000    0.001    0.000 C:\Users\viola\miniconda3\Lib\site-packages\llvmlite\ir\values.py:1073(dereferenceable)
