#=====================================================
# File created:        Sun-27-Oct-2024-at-06-56-00PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.633882
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9756.3467  0.2581 
   00001    0.6876  -14520.3915  0.2588 
   00002    0.6275  -17714.3601  0.2641 
   00003    0.5830  -20121.0744  0.2630 
   00004    0.5570  -21890.4449  0.2607 
   00005    0.5428  -23372.3920  0.2603 
   00006    0.5235  -24453.6859  0.2653 
   00007    0.5118  -25321.0303  0.2645 
   00008    0.4945  -26145.2459  0.2688 
   00009    0.4923  -26857.1727  0.2652 
   00010    0.4795  -27449.3334  0.2650 
   00011    0.4713  -27998.4931  0.2653 
   00012    0.4609  -28438.3357  0.2675 
   00013    0.4619  -28882.9441  0.2689 
   00014    0.4626  -29088.2518  0.2667 
   00015    0.4609  -29310.8796  0.2683 
   00016    0.4602  -29567.2690  0.2721 
   00017    0.4577  -29745.6239  0.2733 
   00018    0.4490  -29971.2454  0.2735 
   00019    0.4513  -30183.1820  0.2781 
   00020    0.4494  -30363.1689  0.2780 
   00021    0.4488  -30516.3744  0.2792 
   00022    0.4477  -30728.8094  0.2769 
   00023    0.4344  -30854.2486  0.2778 
   00024    0.4488  -31013.0664  0.2798 
   00025    0.4360  -31075.7755  0.2811 
   00026    0.4460  -31056.7051  0.2816 
   00027    0.4361  -31105.5829  0.2820 
   00028    0.4343  -31239.3820  0.2827 
   00029    0.4340  -31330.6503  0.2786 
   00030    0.4365  -31421.6670  0.2769 
   00031    0.4359  -31486.1453  0.2757 
   00032    0.4407  -31511.1076  0.2788 
   00033    0.4398  -31610.1408  0.2789 
   00034    0.4414  -31662.8873  0.2771 
   00035    0.4283  -31687.3579  0.2788 
   00036    0.4358  -31767.8806  0.2785 
   00037    0.4394  -31809.3673  0.2801 
   00038    0.4312  -31808.3655  0.2803 
   00039    0.4376  -31820.7677  0.2828 
   00040    0.4287  -31803.0913  0.2844 
   00041    0.4224  -31922.8594  0.2828 
   00042    0.4317  -31915.8776  0.2885 
   00043    0.4317  -31997.6647  0.2918 
   00044    0.4293  -32075.9258  0.2917 
   00045    0.4333  -32137.5517  0.2911 
   00046    0.4297  -32142.3289  0.2889 
   00047    0.4321  -32267.1413  0.2891 
   00048    0.4292  -32300.0920  0.2899 
   00049    0.4264  -32317.6338  0.2917 
   00050    0.4224  -32371.3069  0.2924 
