#=====================================================
# File created:        Sun-27-Oct-2024-at-06-35-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.007165
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2559.1217  0.2640 
   00001    0.6928   -3678.8287  0.2643 
   00002    0.6364   -4452.9325  0.2780 
   00003    0.5644   -5057.4432  0.2734 
   00004    0.5472   -5525.4940  0.2717 
   00005    0.5540   -5931.7568  0.2660 
   00006    0.5108   -6171.7630  0.2656 
   00007    0.4908   -6352.8817  0.2745 
   00008    0.5004   -6623.9777  0.2853 
   00009    0.4916   -6776.2346  0.2933 
   00010    0.4744   -6901.4913  0.2956 
   00011    0.4704   -7028.4368  0.3020 
   00012    0.4720   -7089.7823  0.2981 
   00013    0.4832   -7181.5601  0.3007 
   00014    0.4760   -7287.9458  0.3070 
   00015    0.4644   -7385.5706  0.3048 
   00016    0.4660   -7425.5160  0.3004 
   00017    0.4500   -7488.9825  0.2989 
   00018    0.4740   -7502.5534  0.3098 
   00019    0.4508   -7555.2176  0.3103 
   00020    0.4448   -7586.7615  0.3138 
   00021    0.4500   -7592.4128  0.3156 
   00022    0.4376   -7627.0735  0.3215 
   00023    0.4480   -7697.1481  0.3192 
   00024    0.4352   -7758.1281  0.3217 
   00025    0.4264   -7774.5029  0.3231 
   00026    0.4540   -7815.3184  0.3274 
   00027    0.4480   -7835.5066  0.3271 
   00028    0.4320   -7814.4462  0.3390 
   00029    0.4492   -7877.9326  0.3386 
   00030    0.4328   -7888.5216  0.3429 
   00031    0.4408   -7938.3951  0.3472 
   00032    0.4228   -7969.2192  0.3534 
   00033    0.4424   -7944.2216  0.3598 
   00034    0.4268   -7920.8483  0.3609 
   00035    0.4304   -7922.9416  0.3637 
   00036    0.4284   -8000.8351  0.3569 
   00037    0.4364   -8033.8131  0.3520 
   00038    0.4188   -8052.5113  0.3623 
   00039    0.4320   -8041.7996  0.3601 
   00040    0.4416   -8017.9084  0.3568 
   00041    0.4404   -8041.9780  0.3472 
   00042    0.4360   -8053.5894  0.3476 
   00043    0.4276   -8064.4290  0.3508 
   00044    0.4116   -8086.9355  0.3469 
   00045    0.4300   -8072.0159  0.3441 
   00046    0.4304   -8137.9452  0.3418 
   00047    0.4108   -8116.8695  0.3440 
   00048    0.4236   -8141.7530  0.3399 
   00049    0.4348   -8146.2599  0.3455 
   00050    0.4284   -8136.7603  0.3441 
