#=====================================================
# File created:        Sun-27-Oct-2024-at-06-04-46PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.854157
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2521.5080  0.2636 
   00001    0.6828   -3691.9720  0.2671 
   00002    0.6140   -4471.4873  0.2703 
   00003    0.5864   -5133.6082  0.2804 
   00004    0.5420   -5529.3761  0.2836 
   00005    0.5192   -5847.1842  0.2891 
   00006    0.5176   -6141.7191  0.2835 
   00007    0.5068   -6332.3699  0.2971 
   00008    0.5056   -6525.6303  0.2950 
   00009    0.4872   -6641.0027  0.3066 
   00010    0.4620   -6817.5999  0.3092 
   00011    0.4568   -6892.8696  0.3118 
   00012    0.4724   -7018.6937  0.3154 
   00013    0.4712   -7118.6058  0.3142 
   00014    0.4736   -7194.3203  0.3180 
   00015    0.4628   -7256.0149  0.3164 
   00016    0.4756   -7354.1456  0.3244 
   00017    0.4368   -7450.3133  0.3185 
   00018    0.4444   -7509.5106  0.3235 
   00019    0.4468   -7576.5573  0.3273 
   00020    0.4544   -7649.9618  0.3275 
   00021    0.4404   -7728.9687  0.3294 
   00022    0.4384   -7694.7107  0.3296 
   00023    0.4544   -7741.7624  0.3366 
   00024    0.4368   -7768.0255  0.3356 
   00025    0.4544   -7781.0596  0.3364 
   00026    0.4400   -7841.1701  0.3297 
   00027    0.4260   -7880.8623  0.3255 
   00028    0.4480   -7856.4670  0.3285 
   00029    0.4220   -7857.2480  0.3312 
   00030    0.4448   -7831.7089  0.3296 
   00031    0.4296   -7796.0848  0.3311 
   00032    0.4296   -7856.8384  0.3367 
   00033    0.4260   -7854.9044  0.3374 
   00034    0.4520   -7890.6180  0.3377 
   00035    0.4444   -7936.8751  0.3398 
   00036    0.4344   -7954.0313  0.3458 
   00037    0.4316   -7914.2943  0.3447 
   00038    0.4376   -7948.4917  0.3478 
   00039    0.4372   -7936.6217  0.3547 
   00040    0.4248   -7953.0372  0.3524 
   00041    0.4280   -7961.8657  0.3492 
   00042    0.4304   -7988.5796  0.3518 
   00043    0.4408   -8003.0234  0.3438 
   00044    0.4344   -8084.9036  0.3507 
   00045    0.4264   -8122.6628  0.3515 
   00046    0.4336   -8154.7292  0.3486 
   00047    0.4388   -8121.2935  0.3513 
   00048    0.4360   -8151.8391  0.3505 
   00049    0.4104   -8129.0265  0.3438 
   00050    0.4172   -8127.7623  0.3427 
