#=====================================================
# File created:        Sun-27-Oct-2024-at-06-44-35PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.090453
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9854.0666  0.2596 
   00001    0.6738  -14845.0009  0.2577 
   00002    0.6265  -17885.4196  0.2630 
   00003    0.5849  -20185.7058  0.2680 
   00004    0.5611  -21941.9008  0.2668 
   00005    0.5299  -23294.8570  0.2663 
   00006    0.5174  -24468.7436  0.2678 
   00007    0.5164  -25500.5972  0.2699 
   00008    0.5008  -26242.7591  0.2660 
   00009    0.4963  -26860.8296  0.2683 
   00010    0.4847  -27432.1551  0.2753 
   00011    0.4753  -27935.1024  0.2738 
   00012    0.4731  -28427.9206  0.2745 
   00013    0.4796  -28787.0426  0.2751 
   00014    0.4645  -29083.1577  0.2762 
   00015    0.4548  -29411.2672  0.2756 
   00016    0.4629  -29668.0437  0.2744 
   00017    0.4579  -29840.5024  0.2706 
   00018    0.4588  -30064.6796  0.2686 
   00019    0.4511  -30328.1083  0.2686 
   00020    0.4470  -30438.4557  0.2660 
   00021    0.4475  -30485.0877  0.2658 
   00022    0.4482  -30639.4418  0.2668 
   00023    0.4417  -30749.0733  0.2659 
   00024    0.4368  -30984.2541  0.2619 
   00025    0.4445  -31051.2676  0.2684 
   00026    0.4379  -31214.6369  0.2681 
   00027    0.4431  -31297.1892  0.2676 
   00028    0.4325  -31414.8502  0.2701 
   00029    0.4381  -31499.6096  0.2681 
   00030    0.4326  -31565.7346  0.2729 
   00031    0.4245  -31590.7717  0.2756 
   00032    0.4385  -31734.4136  0.2743 
   00033    0.4339  -31827.9842  0.2742 
   00034    0.4319  -31887.5279  0.2746 
   00035    0.4420  -31915.7871  0.2766 
   00036    0.4383  -32019.8198  0.2747 
   00037    0.4267  -32059.3783  0.2737 
   00038    0.4322  -31996.7359  0.2749 
   00039    0.4354  -32111.9341  0.2744 
   00040    0.4371  -32127.8396  0.2759 
   00041    0.4278  -32251.4279  0.2793 
   00042    0.4271  -32295.9097  0.2831 
   00043    0.4276  -32281.2148  0.2854 
   00044    0.4246  -32226.6344  0.2834 
   00045    0.4287  -32184.3426  0.2886 
   00046    0.4268  -32218.9945  0.2863 
   00047    0.4186  -32255.5930  0.2873 
   00048    0.4228  -32235.3957  0.2876 
   00049    0.4235  -32411.2596  0.2901 
   00050    0.4189  -32419.6740  0.2908 
