#=====================================================
# File created:        Sun-27-Oct-2024-at-06-44-26PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.386225
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -621.9177  0.2950 
   00001    0.6672    -933.3916  0.2945 
   00002    0.6016   -1174.8470  0.3131 
   00003    0.5952   -1273.6127  0.3370 
   00004    0.5200   -1386.4860  0.3386 
   00005    0.5344   -1474.7489  0.3238 
   00006    0.5152   -1547.8752  0.3292 
   00007    0.4880   -1591.0400  0.3449 
   00008    0.5040   -1650.8860  0.3485 
   00009    0.4704   -1686.3915  0.3452 
   00010    0.4800   -1741.2025  0.3449 
   00011    0.4992   -1745.6858  0.3415 
   00012    0.4784   -1776.5160  0.3380 
   00013    0.4752   -1801.1078  0.3450 
   00014    0.4608   -1840.8561  0.3693 
   00015    0.4464   -1867.2001  0.3711 
   00016    0.4592   -1895.4520  0.3748 
   00017    0.4688   -1895.8682  0.3711 
   00018    0.4432   -1900.3501  0.3842 
   00019    0.4544   -1921.7519  0.4008 
   00020    0.4720   -1895.9171  0.3972 
   00021    0.4560   -1909.6306  0.3945 
   00022    0.4464   -1921.6560  0.3909 
   00023    0.4560   -1932.7225  0.3826 
   00024    0.4304   -1940.5021  0.3873 
   00025    0.4544   -1954.0088  0.3937 
   00026    0.4128   -1975.9194  0.3959 
   00027    0.4496   -1964.6500  0.4000 
   00028    0.4224   -1977.3240  0.3976 
   00029    0.4288   -1987.7159  0.3967 
   00030    0.4272   -1982.8350  0.3997 
   00031    0.4352   -2000.4172  0.4008 
   00032    0.4352   -1981.3638  0.4126 
   00033    0.4144   -1975.1812  0.4072 
   00034    0.4512   -1971.8027  0.4294 
   00035    0.4176   -1982.6096  0.4290 
   00036    0.4432   -1990.8201  0.4353 
   00037    0.4304   -1984.3569  0.4278 
   00038    0.3984   -2000.6459  0.4307 
   00039    0.4528   -2007.0662  0.4222 
   00040    0.3968   -2020.4691  0.4198 
   00041    0.4224   -2022.0925  0.4208 
   00042    0.4176   -2033.4607  0.4188 
   00043    0.4464   -2032.7192  0.4252 
   00044    0.4048   -2042.1821  0.4309 
   00045    0.4000   -2009.7984  0.4188 
   00046    0.4384   -2015.1438  0.4244 
   00047    0.4368   -2026.5654  0.4392 
   00048    0.4208   -2045.1738  0.4468 
   00049    0.4240   -2050.9197  0.4534 
   00050    0.4032   -2032.3492  0.4578 
