#=====================================================
# File created:        Sun-27-Oct-2024-at-06-44-24PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.083203
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -104.8795  0.2880 
   00001    0.7800    -142.5058  0.3010 
   00002    0.6100    -168.5836  0.3529 
   00003    0.5900    -199.9517  0.4224 
   00004    0.5800    -220.9758  0.4759 
   00005    0.5400    -236.7165  0.4969 
   00006    0.5700    -245.9349  0.4849 
   00007    0.5300    -251.4921  0.5158 
   00008    0.5400    -260.3894  0.5706 
   00009    0.5700    -279.7153  0.6179 
   00010    0.5000    -275.4750  0.6414 
   00011    0.4300    -277.6476  0.6499 
   00012    0.4900    -292.8338  0.6546 
   00013    0.5200    -280.1512  0.6361 
   00014    0.4900    -285.6930  0.6314 
   00015    0.5000    -304.1391  0.6212 
   00016    0.5000    -311.8449  0.6410 
   00017    0.3800    -309.0041  0.6529 
   00018    0.3900    -316.0730  0.6729 
   00019    0.4200    -318.1071  0.6982 
   00020    0.4100    -308.0138  0.7058 
   00021    0.4200    -301.8874  0.7106 
   00022    0.4000    -313.0907  0.7487 
   00023    0.4600    -314.4037  0.7431 
   00024    0.4400    -323.6684  0.7512 
   00025    0.4200    -334.3179  0.7983 
   00026    0.3900    -330.4166  0.7978 
   00027    0.4300    -326.5853  0.8061 
   00028    0.3900    -321.0912  0.8167 
   00029    0.4500    -325.3602  0.8130 
   00030    0.4000    -333.5114  0.8287 
   00031    0.4000    -337.8967  0.8315 
   00032    0.3600    -335.8235  0.8359 
   00033    0.3800    -339.2585  0.8409 
   00034    0.4100    -333.2898  0.8562 
   00035    0.4600    -337.2899  0.8769 
   00036    0.3800    -341.5813  0.8812 
   00037    0.4300    -336.1437  0.8826 
   00038    0.4400    -336.6190  0.8877 
   00039    0.4900    -335.6084  0.8842 
   00040    0.4200    -345.4663  0.9056 
   00041    0.3700    -352.2825  0.9210 
   00042    0.4200    -352.8639  0.9282 
   00043    0.2800    -346.0310  0.9143 
   00044    0.4000    -338.8807  0.8969 
   00045    0.4200    -341.1963  0.8877 
   00046    0.4900    -346.6942  0.9057 
   00047    0.3300    -337.4234  0.8871 
   00048    0.4600    -337.9948  0.8778 
   00049    0.4100    -339.4548  0.8863 
   00050    0.4600    -346.9307  0.9004 
