#=====================================================
# File created:        Sun-27-Oct-2024-at-06-44-28PM
# Size of lattice:     45x45
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.083469
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2006.6953  0.2842 
   00001    0.6627   -2959.4922  0.2781 
   00002    0.5990   -3615.8473  0.2828 
   00003    0.5644   -4101.6293  0.2901 
   00004    0.5556   -4512.2148  0.2857 
   00005    0.5269   -4749.7197  0.2877 
   00006    0.5210   -5001.2211  0.2885 
   00007    0.4933   -5199.9995  0.2916 
   00008    0.4943   -5298.8494  0.2963 
   00009    0.4835   -5410.8032  0.2964 
   00010    0.4805   -5520.6329  0.3017 
   00011    0.4657   -5647.1814  0.3056 
   00012    0.4726   -5722.3599  0.3160 
   00013    0.4617   -5851.0650  0.3183 
   00014    0.4553   -5921.9658  0.3196 
   00015    0.4543   -5983.1147  0.3271 
   00016    0.4573   -6042.5216  0.3287 
   00017    0.4647   -6094.5597  0.3265 
   00018    0.4489   -6103.9249  0.3342 
   00019    0.4484   -6173.6145  0.3382 
   00020    0.4459   -6210.2293  0.3426 
   00021    0.4519   -6228.4422  0.3484 
   00022    0.4286   -6239.9570  0.3397 
   00023    0.4578   -6213.6430  0.3399 
   00024    0.4410   -6237.4420  0.3454 
   00025    0.4272   -6280.9782  0.3501 
   00026    0.4331   -6282.9374  0.3529 
   00027    0.4430   -6303.3651  0.3567 
   00028    0.4469   -6310.3167  0.3599 
   00029    0.4281   -6293.3294  0.3627 
   00030    0.4296   -6312.1021  0.3667 
   00031    0.4578   -6354.3604  0.3726 
   00032    0.4415   -6415.0790  0.3712 
   00033    0.4410   -6396.0596  0.3761 
   00034    0.4114   -6414.6346  0.3807 
   00035    0.4178   -6434.2226  0.3873 
   00036    0.4346   -6436.1729  0.3893 
   00037    0.4617   -6425.1450  0.3970 
   00038    0.4370   -6435.0929  0.4069 
   00039    0.4435   -6452.6998  0.4128 
   00040    0.4440   -6491.1208  0.4105 
   00041    0.4425   -6515.1838  0.4076 
   00042    0.4291   -6526.3577  0.4074 
   00043    0.4094   -6561.0608  0.4152 
   00044    0.4504   -6532.9856  0.4217 
   00045    0.4267   -6602.9305  0.4354 
   00046    0.4400   -6615.5946  0.4291 
   00047    0.4237   -6617.6667  0.4282 
   00048    0.4257   -6653.9594  0.4265 
   00049    0.4079   -6651.1585  0.4279 
   00050    0.4267   -6638.8086  0.4319 
