#=====================================================
# File created:        Sat-12-Oct-2024-at-08-42-28PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        7.234744
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2543.4346  0.2678 
   00001    0.6912   -3759.1038  0.2736 
   00002    0.6256   -4410.7301  0.2766 
   00003    0.5764   -4784.9485  0.2730 
   00004    0.5516   -5098.3188  0.2665 
   00005    0.5552   -5255.4206  0.2848 
   00006    0.5336   -5372.0875  0.2846 
   00007    0.5456   -5424.9465  0.2738 
   00008    0.5228   -5463.0245  0.2773 
   00009    0.5188   -5529.4931  0.2842 
   00010    0.5232   -5536.7503  0.2796 
   00011    0.5056   -5598.7817  0.2880 
   00012    0.5284   -5629.6659  0.2881 
   00013    0.4964   -5660.6347  0.2936 
   00014    0.5036   -5668.5653  0.3081 
   00015    0.5056   -5808.8172  0.3082 
   00016    0.5084   -5811.9303  0.3142 
   00017    0.5044   -5854.4453  0.3199 
   00018    0.5004   -5891.5849  0.3284 
   00019    0.4992   -5850.1738  0.3226 
   00020    0.5012   -5805.5785  0.3303 
   00021    0.5132   -5739.1650  0.3270 
   00022    0.5116   -5850.5149  0.3189 
   00023    0.4952   -5817.2105  0.3239 
   00024    0.4952   -5835.0226  0.3265 
   00025    0.5108   -5896.2764  0.3413 
   00026    0.4984   -6016.7344  0.3448 
   00027    0.4708   -5930.3699  0.3485 
   00028    0.4872   -5892.6239  0.3438 
   00029    0.4864   -5872.6168  0.3509 
   00030    0.5008   -5890.2577  0.3497 
   00031    0.4912   -5975.2448  0.3570 
   00032    0.4992   -5894.5991  0.3569 
   00033    0.4776   -5888.8160  0.3529 
   00034    0.4828   -5933.4183  0.3466 
   00035    0.4972   -5961.0519  0.3381 
   00036    0.5048   -5790.8992  0.3291 
   00037    0.4968   -5866.3291  0.3243 
   00038    0.5096   -5858.2965  0.3220 
   00039    0.5004   -5841.0530  0.3113 
   00040    0.4836   -5833.6844  0.3008 
   00041    0.4876   -5968.9759  0.3068 
   00042    0.4840   -5953.4086  0.2991 
   00043    0.4796   -5945.7867  0.3080 
   00044    0.4860   -5971.0283  0.3001 
   00045    0.4872   -5960.5824  0.3212 
   00046    0.4948   -5954.5865  0.3321 
   00047    0.4932   -5945.8551  0.3461 
   00048    0.4784   -6043.7941  0.3462 
   00049    0.4880   -5970.8274  0.3413 
   00050    0.4948   -5917.8232  0.3437 
   00051    0.4684   -5925.4714  0.3408 
   00052    0.4824   -5891.9444  0.3449 
   00053    0.4864   -5995.0782  0.3416 
   00054    0.4928   -5959.4846  0.3389 
   00055    0.4932   -6030.7893  0.3507 
   00056    0.4952   -6062.4621  0.3587 
   00057    0.4756   -6048.8882  0.3670 
   00058    0.4864   -6033.8084  0.3763 
   00059    0.4676   -6051.5356  0.3734 
   00060    0.4752   -6078.2166  0.3672 
   00061    0.4844   -6030.8939  0.3705 
   00062    0.4928   -6096.9803  0.3646 
   00063    0.4932   -6109.7390  0.3427 
   00064    0.4936   -5993.7804  0.3395 
   00065    0.4852   -5892.0918  0.3286 
   00066    0.5156   -5862.5555  0.3367 
   00067    0.4908   -5937.6951  0.3408 
   00068    0.4804   -5942.7179  0.3393 
   00069    0.4880   -5961.6169  0.3464 
   00070    0.4756   -5988.6961  0.3424 
   00071    0.5040   -6000.7025  0.3406 
   00072    0.4768   -6011.3601  0.3472 
   00073    0.4932   -5970.8976  0.3461 
   00074    0.4960   -5892.2549  0.3528 
   00075    0.4924   -5920.9146  0.3488 
   00076    0.5072   -5899.5184  0.3541 
   00077    0.4944   -6049.1631  0.3643 
   00078    0.4828   -6044.0410  0.3502 
   00079    0.4796   -6109.1172  0.3537 
   00080    0.4880   -6060.1817  0.3498 
   00081    0.4852   -6017.0670  0.3536 
   00082    0.4868   -6021.2151  0.3425 
   00083    0.4848   -6045.0130  0.3406 
   00084    0.4692   -5963.0719  0.3317 
   00085    0.4756   -5929.9197  0.3158 
   00086    0.5128   -5930.5643  0.3167 
   00087    0.5000   -5939.5672  0.3281 
   00088    0.4780   -6009.9991  0.3286 
   00089    0.4652   -5937.2192  0.3365 
   00090    0.5060   -5911.5575  0.3304 
   00091    0.4976   -5855.0748  0.3406 
   00092    0.4936   -5917.3992  0.3351 
   00093    0.5004   -5945.2292  0.3320 
   00094    0.4968   -5971.6005  0.3312 
   00095    0.4968   -6068.6110  0.3260 
   00096    0.4756   -6107.4350  0.3257 
   00097    0.4796   -5955.4197  0.3255 
   00098    0.5096   -5959.5783  0.3251 
   00099    0.4728   -6006.0016  0.3367 
   00100    0.4936   -6010.6206  0.3254 
