#=====================================================
# File created:        Tue-29-Oct-2024-at-07-10-21PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.105048
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -718.6988  0.2772 
   00001    0.6800   -1000.2016  0.2550 
   00002    0.6048   -1180.8693  0.3047 
   00003    0.5600   -1314.4441  0.3288 
   00004    0.5056   -1404.2483  0.3277 
   00005    0.5680   -1455.6362  0.3142 
   00006    0.5104   -1498.6177  0.2992 
   00007    0.5552   -1534.7650  0.3173 
   00008    0.5152   -1574.0097  0.3097 
   00009    0.5168   -1609.2992  0.3209 
   00010    0.4656   -1651.5393  0.3446 
   00011    0.5184   -1694.3701  0.3207 
   00012    0.4720   -1723.3500  0.3317 
   00013    0.4512   -1757.4104  0.3227 
   00014    0.4624   -1778.0515  0.3272 
   00015    0.4816   -1780.1900  0.3068 
   00016    0.4688   -1810.4806  0.3164 
   00017    0.4896   -1858.4051  0.3285 
   00018    0.4736   -1882.2095  0.3470 
   00019    0.4416   -1888.3932  0.3556 
   00020    0.4240   -1918.4181  0.3582 
   00021    0.4272   -1918.5401  0.3581 
   00022    0.4304   -1929.1464  0.3688 
   00023    0.4480   -1917.2674  0.3766 
   00024    0.4496   -1933.7363  0.3624 
   00025    0.4304   -1933.7424  0.3732 
   00026    0.4448   -1962.6512  0.3699 
   00027    0.4256   -1963.3812  0.3746 
   00028    0.4080   -1977.9975  0.3886 
   00029    0.4080   -1956.0020  0.3802 
   00030    0.4400   -1959.4005  0.3822 
   00031    0.4032   -1958.7734  0.3731 
   00032    0.4240   -1999.1383  0.3828 
   00033    0.4208   -1995.1008  0.3770 
   00034    0.4000   -1992.4317  0.3794 
   00035    0.4800   -1984.1627  0.3691 
   00036    0.4384   -1996.2429  0.3689 
   00037    0.3904   -2000.4392  0.3741 
   00038    0.4352   -1983.6840  0.3826 
   00039    0.4336   -2003.0906  0.3910 
   00040    0.4320   -1987.4094  0.3904 
   00041    0.4128   -1958.2179  0.3946 
   00042    0.4160   -1977.0900  0.3900 
   00043    0.4272   -1975.3550  0.3978 
   00044    0.4368   -1971.8585  0.3982 
   00045    0.4512   -1981.8399  0.3950 
   00046    0.4272   -1997.3239  0.3860 
   00047    0.4208   -2016.9410  0.3861 
   00048    0.4128   -2012.7927  0.3910 
   00049    0.4096   -2016.4540  0.3945 
   00050    0.4128   -2009.4697  0.3941 
