#=====================================================
# File created:        Tue-29-Oct-2024-at-07-11-53PM
# Size of lattice:     45x45
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.154988
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2041.2303  0.2732 
   00001    0.6795   -2968.0352  0.2725 
   00002    0.6173   -3603.0025  0.2803 
   00003    0.5881   -3983.7028  0.2824 
   00004    0.5773   -4341.2857  0.2748 
   00005    0.5536   -4585.2338  0.2770 
   00006    0.5323   -4770.9307  0.2807 
   00007    0.5388   -4952.2715  0.2913 
   00008    0.5225   -5156.6965  0.2918 
   00009    0.4874   -5291.0225  0.2962 
   00010    0.4775   -5412.9220  0.2938 
   00011    0.4785   -5531.2850  0.2981 
   00012    0.4983   -5616.9128  0.2946 
   00013    0.4706   -5641.3228  0.2941 
   00014    0.4790   -5773.5154  0.2991 
   00015    0.4701   -5830.5356  0.2959 
   00016    0.4588   -5920.7147  0.2899 
   00017    0.4637   -5962.7509  0.2892 
   00018    0.4632   -5976.3074  0.2940 
   00019    0.4627   -6043.1569  0.2985 
   00020    0.4331   -6061.2607  0.3072 
   00021    0.4326   -6096.5457  0.3049 
   00022    0.4207   -6141.3367  0.3000 
   00023    0.4578   -6182.8822  0.2987 
   00024    0.4519   -6251.5811  0.2988 
   00025    0.4341   -6233.4704  0.2955 
   00026    0.4494   -6264.6869  0.2933 
   00027    0.4553   -6262.9809  0.2972 
   00028    0.4370   -6326.0967  0.2951 
   00029    0.4365   -6367.5373  0.3021 
   00030    0.4277   -6350.9821  0.3024 
   00031    0.4430   -6303.7764  0.3081 
   00032    0.4316   -6315.8850  0.3029 
   00033    0.4375   -6340.0616  0.3119 
   00034    0.4331   -6382.5729  0.3164 
   00035    0.4346   -6405.0689  0.3149 
   00036    0.4400   -6374.4181  0.3157 
   00037    0.4336   -6374.8816  0.3096 
   00038    0.4272   -6367.1863  0.3095 
   00039    0.4528   -6410.1369  0.3113 
   00040    0.4193   -6473.4896  0.3105 
   00041    0.4227   -6481.2597  0.3191 
   00042    0.4316   -6425.3889  0.3231 
   00043    0.4207   -6449.5658  0.3283 
   00044    0.4336   -6482.5219  0.3417 
   00045    0.4178   -6499.6084  0.3463 
   00046    0.4400   -6491.8720  0.3459 
   00047    0.4464   -6464.2091  0.3463 
   00048    0.4425   -6445.2443  0.3508 
   00049    0.4469   -6462.6159  0.3469 
   00050    0.4138   -6492.1425  0.3472 
