#=====================================================
# File created:        Tue-29-Oct-2024-at-07-12-56PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.521568
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -9904.9472  0.2632 
   00001    0.6837  -14905.2232  0.2643 
   00002    0.6194  -17839.3889  0.2663 
   00003    0.5873  -20140.3301  0.2682 
   00004    0.5516  -22016.7012  0.2664 
   00005    0.5355  -23423.7994  0.2690 
   00006    0.5091  -24575.5241  0.2745 
   00007    0.5119  -25452.7845  0.2771 
   00008    0.4981  -26211.3890  0.2792 
   00009    0.4784  -26822.8022  0.2776 
   00010    0.4813  -27470.4076  0.2779 
   00011    0.4814  -27922.9331  0.2726 
   00012    0.4754  -28363.0749  0.2777 
   00013    0.4663  -28735.5312  0.2792 
   00014    0.4589  -29074.3463  0.2831 
   00015    0.4651  -29400.6509  0.2847 
   00016    0.4544  -29680.6297  0.2876 
   00017    0.4575  -29920.7478  0.2884 
   00018    0.4594  -30063.6925  0.2891 
   00019    0.4407  -30196.7835  0.2845 
   00020    0.4415  -30335.5581  0.2858 
   00021    0.4403  -30515.7499  0.2816 
   00022    0.4469  -30681.5078  0.2808 
   00023    0.4423  -30710.5592  0.2828 
   00024    0.4466  -30857.6976  0.2799 
   00025    0.4443  -30980.2455  0.2804 
   00026    0.4388  -31212.9003  0.2856 
   00027    0.4351  -31267.2707  0.2890 
   00028    0.4346  -31384.1328  0.2864 
   00029    0.4311  -31471.8428  0.2886 
   00030    0.4249  -31529.6887  0.2861 
   00031    0.4312  -31662.7275  0.2833 
   00032    0.4339  -31778.2291  0.2848 
   00033    0.4359  -31762.2841  0.2871 
   00034    0.4309  -31955.9484  0.2858 
   00035    0.4339  -31910.3057  0.2864 
   00036    0.4301  -31957.8585  0.2871 
   00037    0.4300  -31945.3032  0.2871 
   00038    0.4322  -31983.8740  0.2857 
   00039    0.4202  -31960.4155  0.2874 
   00040    0.4294  -31930.4306  0.2883 
   00041    0.4238  -32034.4679  0.2922 
   00042    0.4346  -32072.7588  0.2933 
   00043    0.4327  -32229.0716  0.2977 
   00044    0.4258  -32227.1483  0.3002 
   00045    0.4377  -32279.1757  0.2984 
   00046    0.4291  -32156.3422  0.2971 
   00047    0.4294  -32156.0361  0.2949 
   00048    0.4235  -32117.5250  0.2981 
   00049    0.4328  -32170.7107  0.2947 
   00050    0.4315  -32209.9105  0.2988 
