#=====================================================
# File created:        Tue-29-Oct-2024-at-07-12-08PM
# Size of lattice:     45x45
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.201068
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -1989.7805  0.2622 
   00001    0.6928   -3047.0092  0.2576 
   00002    0.6059   -3681.9218  0.2599 
   00003    0.5728   -4128.9094  0.2576 
   00004    0.5496   -4462.5140  0.2675 
   00005    0.5600   -4775.1471  0.2594 
   00006    0.5185   -4984.8727  0.2587 
   00007    0.4938   -5209.7510  0.2615 
   00008    0.4736   -5298.4591  0.2535 
   00009    0.4993   -5464.7011  0.2575 
   00010    0.4899   -5578.7692  0.2665 
   00011    0.4943   -5696.9164  0.2683 
   00012    0.4681   -5788.0785  0.2685 
   00013    0.4711   -5868.7273  0.2731 
   00014    0.4459   -5944.4517  0.2725 
   00015    0.4548   -5950.6598  0.2720 
   00016    0.4523   -6009.8878  0.2746 
   00017    0.4390   -6079.5054  0.2728 
   00018    0.4504   -6097.6354  0.2656 
   00019    0.4484   -6197.1151  0.2700 
   00020    0.4380   -6214.9374  0.2659 
   00021    0.4627   -6284.1160  0.2655 
   00022    0.4469   -6303.5203  0.2642 
   00023    0.4430   -6277.7512  0.2754 
   00024    0.4543   -6311.5816  0.2718 
   00025    0.4277   -6340.2965  0.2678 
   00026    0.4390   -6346.0252  0.2684 
   00027    0.4420   -6385.0406  0.2642 
   00028    0.4356   -6391.2877  0.2613 
   00029    0.4222   -6446.7054  0.2699 
   00030    0.4237   -6453.4782  0.2728 
   00031    0.4202   -6479.5932  0.2805 
   00032    0.4316   -6525.8622  0.2753 
   00033    0.4227   -6553.0560  0.2735 
   00034    0.4277   -6564.1607  0.2764 
   00035    0.4094   -6560.2212  0.2799 
   00036    0.4444   -6586.0416  0.2827 
   00037    0.4365   -6602.8001  0.2900 
   00038    0.4242   -6565.9169  0.2884 
   00039    0.4435   -6553.0467  0.2870 
   00040    0.4217   -6513.9920  0.2892 
   00041    0.4168   -6531.1560  0.2879 
   00042    0.4395   -6539.6587  0.2945 
   00043    0.4262   -6568.1919  0.2953 
   00044    0.4405   -6615.4250  0.2953 
   00045    0.4252   -6601.9537  0.2957 
   00046    0.4104   -6608.4606  0.3052 
   00047    0.4222   -6614.9945  0.3027 
   00048    0.4143   -6620.3239  0.3045 
   00049    0.4326   -6589.9738  0.2991 
   00050    0.4212   -6589.9082  0.3012 
