#=====================================================
# File created:        Tue-29-Oct-2024-at-07-11-21PM
# Size of lattice:     45x45
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.384235
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -1997.5891  0.2591 
   00001    0.6800   -2933.7026  0.2816 
   00002    0.6479   -3640.8310  0.2933 
   00003    0.5872   -4157.5648  0.3032 
   00004    0.5630   -4538.0622  0.3107 
   00005    0.5363   -4801.1593  0.3242 
   00006    0.5091   -4918.9706  0.3260 
   00007    0.5017   -5083.9907  0.3310 
   00008    0.4983   -5265.8637  0.3289 
   00009    0.5042   -5387.9519  0.3325 
   00010    0.5032   -5537.4295  0.3437 
   00011    0.4765   -5629.3461  0.3400 
   00012    0.4706   -5619.6013  0.3423 
   00013    0.4815   -5713.2827  0.3466 
   00014    0.4583   -5797.3018  0.3367 
   00015    0.4691   -5865.0224  0.3377 
   00016    0.4593   -5924.2493  0.3425 
   00017    0.4519   -5927.2951  0.3479 
   00018    0.4657   -6019.8248  0.3388 
   00019    0.4444   -6011.5345  0.3427 
   00020    0.4558   -6038.2798  0.3443 
   00021    0.4430   -6073.6202  0.3398 
   00022    0.4578   -6087.0360  0.3419 
   00023    0.4632   -6131.9579  0.3350 
   00024    0.4356   -6175.3387  0.3304 
   00025    0.4607   -6161.8241  0.3223 
   00026    0.4360   -6222.8912  0.3187 
   00027    0.4617   -6223.9305  0.3140 
   00028    0.4281   -6233.9820  0.3158 
   00029    0.4425   -6288.4216  0.3223 
   00030    0.4573   -6334.1909  0.3238 
   00031    0.4716   -6379.6883  0.3293 
   00032    0.4479   -6399.3118  0.3207 
   00033    0.4242   -6398.3292  0.3251 
   00034    0.4420   -6362.8228  0.3245 
   00035    0.4168   -6403.2178  0.3369 
   00036    0.4360   -6439.3595  0.3395 
   00037    0.4217   -6402.2490  0.3397 
   00038    0.4405   -6435.3226  0.3419 
   00039    0.4494   -6474.2534  0.3334 
   00040    0.4198   -6449.1021  0.3401 
   00041    0.4390   -6457.4818  0.3449 
   00042    0.4247   -6474.8455  0.3473 
   00043    0.4365   -6465.4393  0.3560 
   00044    0.4193   -6489.0610  0.3531 
   00045    0.4311   -6493.7149  0.3507 
   00046    0.4563   -6532.3039  0.3538 
   00047    0.4148   -6518.2276  0.3507 
   00048    0.4257   -6501.6719  0.3476 
   00049    0.4193   -6507.0010  0.3483 
   00050    0.4212   -6457.0327  0.3429 
