#=====================================================
# File created:        Tue-29-Oct-2024-at-07-09-23PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.238859
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000     -91.3844  0.3471 
   00001    0.6900    -128.3297  0.3474 
   00002    0.7200    -158.1467  0.3949 
   00003    0.6500    -169.6125  0.3804 
   00004    0.5900    -186.2044  0.3997 
   00005    0.5500    -211.0700  0.4598 
   00006    0.4400    -229.7399  0.4860 
   00007    0.4500    -247.1386  0.5690 
   00008    0.5000    -253.6900  0.5907 
   00009    0.5300    -264.3544  0.5745 
   00010    0.5600    -268.7399  0.6137 
   00011    0.4400    -276.3964  0.6469 
   00012    0.4500    -286.1684  0.6742 
   00013    0.4800    -282.8077  0.6611 
   00014    0.4200    -292.5642  0.7010 
   00015    0.3400    -299.5910  0.7322 
   00016    0.4700    -296.3545  0.7409 
   00017    0.4600    -306.9486  0.7349 
   00018    0.4400    -308.2184  0.7212 
   00019    0.5000    -318.6502  0.7595 
   00020    0.4200    -319.6698  0.7590 
   00021    0.4000    -326.7112  0.7643 
   00022    0.4400    -332.9633  0.7829 
   00023    0.4000    -337.4509  0.7878 
   00024    0.3900    -335.6943  0.7880 
   00025    0.3700    -331.8809  0.7840 
   00026    0.3700    -332.4395  0.7646 
   00027    0.4100    -334.8115  0.7935 
   00028    0.4100    -341.9914  0.8011 
   00029    0.5100    -339.5015  0.8156 
   00030    0.5000    -344.1774  0.8423 
   00031    0.3600    -341.6034  0.8434 
   00032    0.4600    -339.7616  0.8434 
   00033    0.4900    -337.4030  0.8408 
   00034    0.3600    -336.2193  0.8284 
   00035    0.4100    -343.4767  0.8439 
   00036    0.4000    -344.6506  0.8404 
   00037    0.3700    -349.7332  0.8633 
   00038    0.4600    -355.7530  0.8728 
   00039    0.3700    -348.8922  0.8549 
   00040    0.4200    -345.5136  0.8472 
   00041    0.4200    -350.8708  0.8612 
   00042    0.3600    -347.9292  0.8618 
   00043    0.4700    -353.0186  0.8737 
   00044    0.5200    -351.2294  0.8834 
   00045    0.3500    -350.8314  0.8834 
   00046    0.3200    -348.7711  0.8686 
   00047    0.3700    -344.2766  0.8626 
   00048    0.3900    -347.1384  0.8568 
   00049    0.3900    -352.6657  0.8643 
   00050    0.4800    -350.3840  0.8699 
