#=====================================================
# File created:        Tue-29-Oct-2024-at-07-13-11PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.327096
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000  -10134.4404  0.2562 
   00001    0.6748  -15045.6307  0.2530 
   00002    0.6210  -18071.5398  0.2586 
   00003    0.5889  -20294.3825  0.2605 
   00004    0.5548  -21955.5190  0.2617 
   00005    0.5326  -23443.6574  0.2596 
   00006    0.5219  -24578.5399  0.2629 
   00007    0.5028  -25601.8307  0.2619 
   00008    0.4901  -26322.2876  0.2625 
   00009    0.4846  -26936.3684  0.2638 
   00010    0.4821  -27573.7252  0.2646 
   00011    0.4730  -28213.4768  0.2676 
   00012    0.4656  -28694.3070  0.2660 
   00013    0.4636  -29084.9461  0.2642 
   00014    0.4675  -29400.1994  0.2677 
   00015    0.4538  -29665.5257  0.2683 
   00016    0.4609  -29894.2822  0.2676 
   00017    0.4590  -30064.1702  0.2684 
   00018    0.4476  -30274.3157  0.2676 
   00019    0.4409  -30488.7522  0.2698 
   00020    0.4357  -30691.2708  0.2712 
   00021    0.4416  -30839.9758  0.2704 
   00022    0.4331  -31021.4513  0.2691 
   00023    0.4466  -31129.4484  0.2692 
   00024    0.4311  -31132.6663  0.2674 
   00025    0.4377  -31248.2505  0.2652 
   00026    0.4366  -31312.8364  0.2703 
   00027    0.4368  -31468.6063  0.2706 
   00028    0.4361  -31528.1478  0.2742 
   00029    0.4323  -31623.4487  0.2782 
   00030    0.4311  -31703.2950  0.2795 
   00031    0.4361  -31739.4212  0.2800 
   00032    0.4228  -31765.3819  0.2824 
   00033    0.4399  -31894.3430  0.2800 
   00034    0.4255  -31873.0715  0.2814 
   00035    0.4262  -32133.9199  0.2824 
   00036    0.4291  -32165.3296  0.2846 
   00037    0.4298  -32112.1111  0.2901 
   00038    0.4241  -32157.2524  0.2907 
   00039    0.4327  -32233.0811  0.2892 
   00040    0.4232  -32308.6080  0.2866 
   00041    0.4254  -32306.8410  0.2872 
   00042    0.4383  -32384.3962  0.2892 
   00043    0.4292  -32390.0299  0.2871 
   00044    0.4264  -32477.5191  0.2867 
   00045    0.4251  -32509.4722  0.2856 
   00046    0.4238  -32496.6190  0.2856 
   00047    0.4308  -32599.6156  0.2841 
   00048    0.4224  -32659.7674  0.2866 
   00049    0.4183  -32606.0856  0.2874 
   00050    0.4240  -32641.9272  0.2878 
