#=====================================================
# File created:        Tue-29-Oct-2024-at-07-12-24PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.324428
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -9797.4599  0.2540 
   00001    0.6842  -14832.0805  0.2520 
   00002    0.6262  -18081.4941  0.2568 
   00003    0.5836  -20435.9083  0.2554 
   00004    0.5589  -22041.2574  0.2569 
   00005    0.5410  -23492.7332  0.2614 
   00006    0.5318  -24688.6886  0.2586 
   00007    0.5069  -25495.5688  0.2584 
   00008    0.4956  -26187.7631  0.2582 
   00009    0.5000  -26876.4804  0.2615 
   00010    0.4928  -27469.0869  0.2615 
   00011    0.4748  -28025.7394  0.2623 
   00012    0.4676  -28387.9628  0.2623 
   00013    0.4738  -28763.5463  0.2629 
   00014    0.4669  -28999.9132  0.2628 
   00015    0.4642  -29381.2425  0.2634 
   00016    0.4590  -29692.4450  0.2631 
   00017    0.4534  -29830.3262  0.2670 
   00018    0.4519  -30150.1270  0.2690 
   00019    0.4536  -30277.3230  0.2712 
   00020    0.4451  -30396.6907  0.2699 
   00021    0.4406  -30561.2655  0.2652 
   00022    0.4407  -30696.7060  0.2647 
   00023    0.4483  -30871.3524  0.2688 
   00024    0.4417  -31067.3494  0.2689 
   00025    0.4467  -31062.8546  0.2719 
   00026    0.4398  -31262.8254  0.2728 
   00027    0.4428  -31311.3541  0.2716 
   00028    0.4374  -31351.2846  0.2780 
   00029    0.4417  -31362.1012  0.2767 
   00030    0.4427  -31473.8339  0.2759 
   00031    0.4427  -31559.2784  0.2750 
   00032    0.4401  -31606.3022  0.2744 
   00033    0.4364  -31782.8636  0.2766 
   00034    0.4389  -31842.7082  0.2794 
   00035    0.4309  -31938.0112  0.2812 
   00036    0.4347  -31920.1981  0.2809 
   00037    0.4336  -31998.8467  0.2810 
   00038    0.4313  -32093.3705  0.2836 
   00039    0.4334  -32170.5044  0.2861 
   00040    0.4164  -32098.5166  0.2896 
   00041    0.4326  -32149.8015  0.2885 
   00042    0.4245  -32239.8190  0.2880 
   00043    0.4295  -32209.2651  0.2894 
   00044    0.4309  -32193.8686  0.2878 
   00045    0.4226  -32206.5763  0.2889 
   00046    0.4339  -32199.1137  0.2841 
   00047    0.4304  -32224.9687  0.2864 
   00048    0.4264  -32240.2867  0.2829 
   00049    0.4319  -32230.8422  0.2832 
   00050    0.4213  -32260.6808  0.2846 
