#=====================================================
# File created:        Tue-29-Oct-2024-at-07-09-52PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.125805
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000     -95.0497  0.2720 
   00001    0.6600    -138.4924  0.2783 
   00002    0.7000    -154.0442  0.2801 
   00003    0.6300    -183.3237  0.2734 
   00004    0.5100    -196.7416  0.3412 
   00005    0.5900    -222.5977  0.3319 
   00006    0.4800    -230.6442  0.3624 
   00007    0.5800    -258.3865  0.3632 
   00008    0.4700    -259.3299  0.3999 
   00009    0.5100    -269.8740  0.4624 
   00010    0.4700    -278.8257  0.4781 
   00011    0.4500    -283.4590  0.4863 
   00012    0.4400    -291.3030  0.5169 
   00013    0.3900    -299.2098  0.4994 
   00014    0.4700    -295.3478  0.5523 
   00015    0.5000    -303.6380  0.5846 
   00016    0.4600    -296.9911  0.5650 
   00017    0.4600    -307.1512  0.5839 
   00018    0.4300    -302.1366  0.5398 
   00019    0.4300    -296.9747  0.5321 
   00020    0.5100    -299.3798  0.5484 
   00021    0.4700    -302.7654  0.5737 
   00022    0.5000    -301.7332  0.5853 
   00023    0.4900    -317.1637  0.6264 
   00024    0.4200    -320.6341  0.6288 
   00025    0.4000    -315.5466  0.6624 
   00026    0.3900    -321.9710  0.6645 
   00027    0.4300    -319.6441  0.6864 
   00028    0.3300    -317.3756  0.7023 
   00029    0.4900    -312.1884  0.7215 
   00030    0.4600    -307.9748  0.7158 
   00031    0.5000    -315.7503  0.7287 
   00032    0.5100    -315.9715  0.7383 
   00033    0.3900    -318.2894  0.7524 
   00034    0.4200    -320.0756  0.7266 
   00035    0.4500    -335.5378  0.7623 
   00036    0.3700    -339.4105  0.7841 
   00037    0.4100    -331.8046  0.7524 
   00038    0.4500    -323.5335  0.7318 
   00039    0.3900    -317.7854  0.7358 
   00040    0.4200    -318.4342  0.7427 
   00041    0.4200    -329.3235  0.7708 
   00042    0.4500    -330.7391  0.7880 
   00043    0.5000    -342.4794  0.8168 
   00044    0.4300    -338.5971  0.8047 
   00045    0.4400    -335.7774  0.8177 
   00046    0.5100    -331.0371  0.8252 
   00047    0.4500    -334.5127  0.8471 
   00048    0.3800    -333.7938  0.8584 
   00049    0.4100    -332.0821  0.8447 
   00050    0.3800    -338.7821  0.8549 
