#=====================================================
# File created:        Tue-29-Oct-2024-at-07-10-07PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.095919
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -105.1144  0.2831 
   00001    0.7200    -159.8826  0.3446 
   00002    0.7000    -190.3494  0.3300 
   00003    0.6600    -190.4556  0.3551 
   00004    0.5400    -185.7765  0.3087 
   00005    0.6100    -197.3431  0.2736 
   00006    0.6200    -209.4289  0.2828 
   00007    0.4600    -241.6794  0.2918 
   00008    0.5200    -255.6273  0.3189 
   00009    0.5600    -257.7531  0.3618 
   00010    0.5100    -263.3908  0.3841 
   00011    0.4900    -275.8112  0.3970 
   00012    0.4800    -273.1104  0.3910 
   00013    0.5800    -274.2096  0.4309 
   00014    0.5300    -282.1124  0.4708 
   00015    0.4700    -290.0788  0.4896 
   00016    0.4600    -291.7737  0.5320 
   00017    0.4500    -297.6820  0.5696 
   00018    0.4400    -303.8103  0.6246 
   00019    0.4500    -315.1933  0.6052 
   00020    0.4600    -314.3895  0.6321 
   00021    0.4600    -312.8139  0.6415 
   00022    0.3800    -315.6772  0.6520 
   00023    0.4600    -320.0879  0.6559 
   00024    0.4200    -318.0981  0.6849 
   00025    0.4700    -312.5338  0.6336 
   00026    0.3800    -315.1522  0.6388 
   00027    0.4500    -317.3955  0.6468 
   00028    0.4400    -324.6896  0.6640 
   00029    0.4500    -319.6301  0.6617 
   00030    0.4300    -313.2209  0.6659 
   00031    0.4500    -320.0359  0.7233 
   00032    0.4500    -320.8246  0.7150 
   00033    0.4500    -313.7490  0.7185 
   00034    0.4000    -312.9885  0.7288 
   00035    0.3700    -313.3124  0.7215 
   00036    0.4600    -308.9010  0.7150 
   00037    0.3800    -304.6491  0.7266 
   00038    0.4000    -307.6323  0.7518 
   00039    0.4700    -310.9938  0.7497 
   00040    0.4100    -307.5827  0.7679 
   00041    0.4300    -311.0568  0.7539 
   00042    0.3900    -311.1496  0.7619 
   00043    0.3500    -313.1261  0.7895 
   00044    0.4000    -324.2922  0.8146 
   00045    0.3800    -325.5170  0.8073 
   00046    0.4800    -326.6289  0.8171 
   00047    0.3700    -322.6511  0.8160 
   00048    0.3900    -318.6818  0.7951 
   00049    0.4500    -337.1670  0.8186 
   00050    0.4500    -330.0611  0.8205 
