#=====================================================
# File created:        Tue-29-Oct-2024-at-07-10-51PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.114765
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -575.2807  0.2864 
   00001    0.6912    -871.1856  0.2755 
   00002    0.6336   -1123.8290  0.2892 
   00003    0.5904   -1267.7045  0.2912 
   00004    0.6112   -1337.0009  0.2999 
   00005    0.5360   -1431.8820  0.2967 
   00006    0.4896   -1545.3550  0.2993 
   00007    0.5040   -1586.3538  0.3150 
   00008    0.5248   -1643.9454  0.3254 
   00009    0.4816   -1693.2792  0.3342 
   00010    0.4928   -1722.3541  0.3386 
   00011    0.4528   -1731.8643  0.3669 
   00012    0.4784   -1774.4175  0.3708 
   00013    0.4464   -1806.0090  0.3824 
   00014    0.5152   -1820.1351  0.4017 
   00015    0.4480   -1827.4127  0.4099 
   00016    0.4800   -1854.7594  0.4126 
   00017    0.5120   -1880.8075  0.4102 
   00018    0.4160   -1909.1413  0.4151 
   00019    0.4432   -1896.3938  0.4286 
   00020    0.4672   -1897.6796  0.4358 
   00021    0.4576   -1901.3778  0.4249 
   00022    0.4496   -1925.3172  0.4356 
   00023    0.4192   -1935.7350  0.4521 
   00024    0.4080   -1931.4959  0.4547 
   00025    0.4288   -1924.6187  0.4714 
   00026    0.4512   -1931.2623  0.4661 
   00027    0.4416   -1945.4014  0.4621 
   00028    0.4256   -1980.3910  0.4680 
   00029    0.4608   -1969.1800  0.4698 
   00030    0.4128   -1987.1527  0.4607 
   00031    0.4704   -1977.9350  0.4591 
   00032    0.4336   -1992.3875  0.4625 
   00033    0.4448   -1975.1376  0.4717 
   00034    0.4144   -2022.5419  0.4801 
   00035    0.4016   -2017.2477  0.4811 
   00036    0.4576   -2009.8857  0.4802 
   00037    0.4224   -2029.4120  0.4792 
   00038    0.4736   -2013.9946  0.4746 
   00039    0.4304   -2009.8624  0.4753 
   00040    0.3968   -1999.4725  0.4793 
   00041    0.4496   -1988.5162  0.4793 
   00042    0.4320   -1995.8067  0.4764 
   00043    0.4688   -2007.4552  0.4706 
   00044    0.4256   -2000.8487  0.4844 
   00045    0.4144   -2004.0179  0.4803 
   00046    0.4288   -2027.8571  0.4898 
   00047    0.4624   -2031.3630  0.4920 
   00048    0.4224   -2014.4940  0.5106 
   00049    0.4176   -2023.8957  0.5064 
   00050    0.4304   -2012.7314  0.5057 
