#=====================================================
# File created:        Tue-22-Oct-2024-at-11-20-11AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.743204
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2526.1442  0.2633 
   00001    0.6680   -3711.4636  0.2760 
   00002    0.6136   -4502.6666  0.2831 
   00003    0.5780   -5065.0302  0.2833 
   00004    0.5556   -5473.9721  0.2773 
   00005    0.5304   -5873.9508  0.2842 
   00006    0.5216   -6147.8250  0.2927 
   00007    0.4976   -6362.1295  0.2999 
   00008    0.4984   -6545.3439  0.3062 
   00009    0.4840   -6682.7933  0.3149 
   00010    0.5080   -6835.1223  0.3085 
   00011    0.5036   -6919.0163  0.3124 
   00012    0.4628   -7037.3382  0.3174 
   00013    0.4768   -7083.5383  0.3154 
   00014    0.4788   -7211.0834  0.3224 
   00015    0.4600   -7308.9363  0.3352 
   00016    0.4760   -7330.2687  0.3277 
   00017    0.4584   -7360.3212  0.3354 
   00018    0.4624   -7424.1356  0.3416 
   00019    0.4540   -7544.7342  0.3424 
   00020    0.4596   -7537.8196  0.3504 
   00021    0.4336   -7582.7727  0.3493 
   00022    0.4340   -7638.6553  0.3549 
   00023    0.4572   -7643.7622  0.3606 
   00024    0.4420   -7591.7399  0.3674 
   00025    0.4304   -7684.9389  0.3639 
   00026    0.4408   -7696.0424  0.3711 
   00027    0.4492   -7758.1056  0.3705 
   00028    0.4440   -7776.1493  0.3691 
   00029    0.4240   -7792.4344  0.3729 
   00030    0.4440   -7798.5675  0.3735 
   00031    0.4332   -7781.3947  0.3770 
   00032    0.4444   -7781.7191  0.3862 
   00033    0.4440   -7800.2743  0.3918 
   00034    0.4384   -7810.7908  0.3948 
   00035    0.4464   -7834.4905  0.4006 
   00036    0.4360   -7828.8570  0.4027 
   00037    0.4360   -7876.8641  0.3976 
   00038    0.4248   -7921.9438  0.3956 
   00039    0.4364   -7941.9150  0.4003 
   00040    0.4280   -7960.0960  0.3984 
   00041    0.4412   -7957.3739  0.3986 
   00042    0.4304   -8010.1636  0.4000 
   00043    0.4276   -8046.3850  0.4018 
   00044    0.4272   -8007.5673  0.4035 
   00045    0.4216   -8031.6683  0.4104 
   00046    0.4200   -8037.5810  0.4127 
   00047    0.4256   -8094.7259  0.4119 
   00048    0.4372   -8091.5292  0.4191 
   00049    0.4256   -8096.2454  0.4213 
   00050    0.4328   -8120.9188  0.4289 
