#=====================================================
# File created:        Tue-22-Oct-2024-at-11-30-57AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        13.455415
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10121.9618  0.2513 
   00001    0.6736  -14695.8378  0.2532 
   00002    0.6213  -17948.4428  0.2603 
   00003    0.5838  -20235.2889  0.2569 
   00004    0.5676  -21956.7647  0.2559 
   00005    0.5404  -23180.2125  0.2574 
   00006    0.5182  -24299.8096  0.2615 
   00007    0.5072  -25335.1251  0.2617 
   00008    0.4988  -26044.5179  0.2635 
   00009    0.4950  -26750.9240  0.2641 
   00010    0.4908  -27390.6705  0.2651 
   00011    0.4779  -27975.0928  0.2634 
   00012    0.4765  -28385.1312  0.2657 
   00013    0.4592  -28794.6059  0.2653 
   00014    0.4598  -29254.7914  0.2650 
   00015    0.4553  -29575.6184  0.2604 
   00016    0.4496  -29830.0792  0.2582 
   00017    0.4535  -30122.7020  0.2613 
   00018    0.4542  -30339.7039  0.2644 
   00019    0.4513  -30326.9050  0.2629 
   00020    0.4497  -30373.9991  0.2644 
   00021    0.4476  -30544.9847  0.2626 
   00022    0.4372  -30658.5636  0.2647 
   00023    0.4447  -30785.4084  0.2629 
   00024    0.4420  -30951.2603  0.2655 
   00025    0.4343  -31165.9426  0.2667 
   00026    0.4501  -31222.1299  0.2659 
   00027    0.4446  -31192.5775  0.2675 
   00028    0.4395  -31379.5628  0.2698 
   00029    0.4330  -31492.6244  0.2659 
   00030    0.4377  -31609.1363  0.2659 
   00031    0.4335  -31659.5173  0.2633 
   00032    0.4375  -31645.2643  0.2608 
   00033    0.4336  -31691.6647  0.2619 
   00034    0.4283  -31763.5914  0.2624 
   00035    0.4335  -31804.6328  0.2637 
   00036    0.4289  -31850.8511  0.2627 
   00037    0.4330  -31953.5834  0.2622 
   00038    0.4300  -32029.8241  0.2652 
   00039    0.4354  -32109.5456  0.2644 
   00040    0.4299  -32327.3464  0.2640 
   00041    0.4239  -32353.0282  0.2668 
   00042    0.4263  -32356.9867  0.2667 
   00043    0.4257  -32376.7126  0.2670 
   00044    0.4217  -32425.6599  0.2687 
   00045    0.4181  -32368.5393  0.2686 
   00046    0.4304  -32475.8534  0.2686 
   00047    0.4203  -32480.2645  0.2697 
   00048    0.4255  -32521.5306  0.2696 
   00049    0.4280  -32630.1412  0.2691 
   00050    0.4320  -32639.4178  0.2703 
