#=====================================================
# File created:        Wed-23-Oct-2024-at-11-15-42PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.845743
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2480.6013  0.2711 
   00001    0.0000   -2480.6013  0.2711 
   00002    1.0000   -2480.6013  0.2711 
   00003    0.0000   -2480.6013  0.2711 
   00004    0.0000   -2480.6013  0.2711 
   00005    1.0000   -2480.6013  0.2711 
   00006    1.0000   -2480.6013  0.2711 
   00007    1.0000   -2480.6013  0.2711 
   00008    0.0000   -2480.6013  0.2711 
   00009    0.0000   -2480.6013  0.2711 
   00010    0.0000   -2480.6013  0.2711 
   00011    1.0000   -2480.6013  0.2711 
   00012    0.0000   -2480.6013  0.2711 
   00013    1.0000   -2480.6013  0.2711 
   00014    1.0000   -2480.6013  0.2711 
   00015    0.0024   -2480.6013  0.2711 
   00016    1.0000   -2480.6013  0.2711 
   00017    1.0000   -2480.6013  0.2711 
   00018    0.0000   -2480.6013  0.2711 
   00019    0.1016   -2480.6013  0.2711 
   00020    1.0000   -2480.6013  0.2711 
   00021    0.0000   -2480.6013  0.2711 
   00022    1.0000   -2480.6013  0.2711 
   00023    0.0000   -2480.6013  0.2711 
   00024    0.0000   -2480.6013  0.2711 
   00025    0.0000   -2480.6013  0.2711 
   00026    1.0000   -2480.6013  0.2711 
   00027    1.0000   -2480.6013  0.2711 
   00028    1.0000   -2480.6013  0.2711 
   00029    1.0000   -2480.6013  0.2711 
   00030    0.0000   -2480.6013  0.2711 
   00031    0.0000   -2480.6013  0.2711 
   00032    1.0000   -2480.6013  0.2711 
   00033    1.0000   -2480.6013  0.2711 
   00034    1.0000   -2480.6013  0.2711 
   00035    1.0000   -2480.6013  0.2711 
   00036    0.0000   -2480.6013  0.2711 
   00037    0.0000   -2480.6013  0.2711 
   00038    0.0000   -2480.6013  0.2711 
   00039    1.0000   -2480.6013  0.2711 
   00040    1.0000   -2480.6013  0.2711 
   00041    1.0000   -2480.6013  0.2711 
   00042    0.0000   -2480.6013  0.2711 
   00043    1.0000   -2480.6013  0.2711 
   00044    0.0000   -2480.6013  0.2711 
   00045    1.0000   -2480.6013  0.2711 
   00046    1.0000   -2480.6013  0.2711 
   00047    0.0000   -2480.6013  0.2711 
   00048    1.0000   -2480.6013  0.2711 
   00049    0.0000   -2480.6013  0.2711 
   00050    1.0000   -2480.6013  0.2711 
