#=====================================================
# File created:        Mon-28-Oct-2024-at-12-16-10AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.766578
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2634.5640  0.2612 
   00001    0.5000   -2634.5640  0.2612 
   00002    0.5000   -2634.5640  0.2612 
   00003    0.5000   -2634.5640  0.2612 
   00004    0.5000   -2634.5640  0.2612 
   00005    0.5000   -2634.5640  0.2612 
   00006    0.5000   -2634.5640  0.2612 
   00007    0.5000   -2634.5640  0.2612 
   00008    0.5000   -2634.5640  0.2612 
   00009    0.5000   -2634.5640  0.2612 
   00010    0.5000   -2634.5640  0.2612 
   00011    0.5000   -2634.5640  0.2612 
   00012    0.5000   -2634.5640  0.2612 
   00013    0.5000   -2634.5640  0.2612 
   00014    0.5000   -2634.5640  0.2612 
   00015    0.5000   -2634.5640  0.2612 
   00016    0.5000   -2634.5640  0.2612 
   00017    0.5000   -2634.5640  0.2612 
   00018    0.5000   -2634.5640  0.2612 
   00019    0.5000   -2634.5640  0.2612 
   00020    0.5000   -2634.5640  0.2612 
   00021    0.5000   -2634.5640  0.2612 
   00022    0.5000   -2634.5640  0.2612 
   00023    0.5000   -2634.5640  0.2612 
   00024    0.5000   -2634.5640  0.2612 
   00025    0.5000   -2634.5640  0.2612 
   00026    0.5000   -2634.5640  0.2612 
   00027    0.5000   -2634.5640  0.2612 
   00028    0.5000   -2634.5640  0.2612 
   00029    0.5000   -2634.5640  0.2612 
   00030    0.5000   -2634.5640  0.2612 
   00031    0.5000   -2634.5640  0.2612 
   00032    0.5000   -2634.5640  0.2612 
   00033    0.5000   -2634.5640  0.2612 
   00034    0.5000   -2634.5640  0.2612 
   00035    0.5000   -2634.5640  0.2612 
   00036    0.5000   -2634.5640  0.2612 
   00037    0.5000   -2634.5640  0.2612 
   00038    0.5000   -2634.5640  0.2612 
   00039    0.5000   -2634.5640  0.2612 
   00040    0.5000   -2634.5640  0.2612 
   00041    0.5000   -2634.5640  0.2612 
   00042    0.5000   -2634.5640  0.2612 
   00043    0.5000   -2634.5640  0.2612 
   00044    0.5000   -2634.5640  0.2612 
   00045    0.5000   -2634.5640  0.2612 
   00046    0.5000   -2634.5640  0.2612 
   00047    0.5000   -2634.5640  0.2612 
   00048    0.5000   -2634.5640  0.2612 
   00049    0.5000   -2634.5640  0.2612 
   00050    0.5000   -2634.5640  0.2612 
