#=====================================================
# File created:        Sun-27-Oct-2024-at-03-09-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.008943
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2481.8147  0.2664 
   00001    0.0000   -2481.8147  0.2664 
   00002    0.0000   -2481.8147  0.2664 
   00003    0.0000   -2481.8147  0.2664 
   00004    1.0000   -2481.8147  0.2664 
   00005    0.0000   -2481.8147  0.2664 
   00006    0.0000   -2481.8147  0.2664 
   00007    0.0000   -2481.8147  0.2664 
   00008    1.0000   -2481.8147  0.2664 
   00009    0.0000   -2481.8147  0.2664 
   00010    0.0000   -2481.8147  0.2664 
   00011    0.0000   -2481.8147  0.2664 
   00012    0.0000   -2481.8147  0.2664 
   00013    1.0000   -2481.8147  0.2664 
   00014    0.0000   -2481.8147  0.2664 
   00015    0.0000   -2481.8147  0.2664 
   00016    1.0000   -2481.8147  0.2664 
   00017    0.0000   -2481.8147  0.2664 
   00018    1.0000   -2481.8147  0.2664 
   00019    1.0000   -2481.8147  0.2664 
   00020    0.0000   -2481.8147  0.2664 
   00021    0.0000   -2481.8147  0.2664 
   00022    0.0000   -2481.8147  0.2664 
   00023    0.0000   -2481.8147  0.2664 
   00024    1.0000   -2481.8147  0.2664 
   00025    1.0000   -2481.8147  0.2664 
   00026    1.0000   -2481.8147  0.2664 
   00027    1.0000   -2481.8147  0.2664 
   00028    1.0000   -2481.8147  0.2664 
   00029    0.0000   -2481.8147  0.2664 
   00030    1.0000   -2481.8147  0.2664 
   00031    0.0000   -2481.8147  0.2664 
   00032    1.0000   -2481.8147  0.2664 
   00033    1.0000   -2481.8147  0.2664 
   00034    1.0000   -2481.8147  0.2664 
   00035    0.0072   -2481.8147  0.2664 
   00036    0.0000   -2481.8147  0.2664 
   00037    0.0000   -2481.8147  0.2664 
   00038    0.0000   -2481.8147  0.2664 
   00039    1.0000   -2481.8147  0.2664 
   00040    0.0000   -2481.8147  0.2664 
   00041    1.0000   -2481.8147  0.2664 
   00042    0.0000   -2481.8147  0.2664 
   00043    1.0000   -2481.8147  0.2664 
   00044    0.0000   -2481.8147  0.2664 
   00045    0.0000   -2481.8147  0.2664 
   00046    0.0016   -2481.8147  0.2664 
   00047    0.0000   -2481.8147  0.2664 
   00048    1.0000   -2481.8147  0.2664 
   00049    1.0000   -2481.8147  0.2664 
   00050    0.0000   -2481.8147  0.2664 
