#=====================================================
# File created:        Mon-28-Oct-2024-at-01-18-14AM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.665510
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000    -599.0528  0.7677 
   00001    0.6832    -978.7643  0.7647 
   00002    0.5920   -1159.4507  0.7661 
   00003    0.5872   -1319.0901  0.7783 
   00004    0.5536   -1415.3445  0.7808 
   00005    0.5088   -1481.7573  0.7920 
   00006    0.5328   -1530.3517  0.7933 
   00007    0.4784   -1604.2353  0.8234 
   00008    0.4800   -1652.2348  0.8271 
   00009    0.4800   -1693.5489  0.8453 
   00010    0.4576   -1741.1872  0.8361 
   00011    0.4752   -1781.6742  0.8252 
   00012    0.5024   -1789.8938  0.8262 
   00013    0.4256   -1824.8321  0.8389 
   00014    0.4672   -1856.4802  0.8412 
   00015    0.3984   -1892.0114  0.8400 
   00016    0.4288   -1894.0942  0.8462 
   00017    0.4368   -1899.1173  0.8474 
   00018    0.4256   -1915.8056  0.8573 
   00019    0.4192   -1913.9216  0.8661 
   00020    0.4416   -1926.9782  0.8637 
   00021    0.4048   -1956.1433  0.8693 
   00022    0.4432   -1981.8850  0.8716 
   00023    0.4736   -1956.1743  0.8651 
   00024    0.4480   -1955.2784  0.8700 
   00025    0.4656   -1945.8416  0.8828 
   00026    0.4224   -1965.1178  0.8775 
   00027    0.4304   -1969.2380  0.8768 
   00028    0.4448   -1978.6730  0.8887 
   00029    0.4240   -1971.8831  0.8791 
   00030    0.4176   -1966.8202  0.8853 
   00031    0.4288   -1987.8595  0.8932 
   00032    0.4256   -1989.3431  0.9062 
   00033    0.4352   -1995.4835  0.9074 
   00034    0.4368   -2006.3663  0.9037 
   00035    0.4192   -2014.6748  0.9021 
   00036    0.4368   -2035.4758  0.9103 
   00037    0.4448   -2038.6084  0.9125 
   00038    0.4192   -2040.6837  0.9148 
   00039    0.4464   -2037.5339  0.9266 
   00040    0.4256   -2026.1723  0.9242 
   00041    0.4480   -2018.5699  0.9335 
   00042    0.4048   -2037.6204  0.9340 
   00043    0.4496   -2036.4638  0.9348 
   00044    0.4448   -2023.0635  0.9216 
   00045    0.4096   -2016.4865  0.9208 
   00046    0.4176   -1997.2527  0.9041 
   00047    0.4320   -1992.0356  0.9178 
   00048    0.4656   -2007.4545  0.9201 
   00049    0.4608   -2030.1216  0.9267 
   00050    0.4192   -2006.2170  0.9127 
