#=====================================================
# File created:        Fri-18-Oct-2024-at-02-35-28PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.169542
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -676.3504  0.2715 
   00001    0.7008    -940.2597  0.2745 
   00002    0.6272   -1112.6353  0.2622 
   00003    0.6288   -1263.3705  0.2618 
   00004    0.5520   -1369.7731  0.2579 
   00005    0.5600   -1432.1725  0.2742 
   00006    0.5440   -1513.4660  0.2725 
   00007    0.5184   -1583.8571  0.2714 
   00008    0.4864   -1604.4724  0.2847 
   00009    0.4816   -1661.5016  0.3020 
   00010    0.4768   -1679.5780  0.3131 
   00011    0.4672   -1732.3884  0.3003 
   00012    0.4672   -1752.5660  0.3045 
   00013    0.4768   -1764.6163  0.3290 
   00014    0.4864   -1790.3732  0.3285 
   00015    0.4880   -1791.9035  0.3320 
   00016    0.4448   -1813.5339  0.3390 
   00017    0.4816   -1831.3334  0.3414 
   00018    0.4384   -1871.8510  0.3500 
   00019    0.4576   -1886.9584  0.3608 
   00020    0.4608   -1884.5287  0.3659 
   00021    0.4528   -1875.8763  0.3488 
   00022    0.4256   -1896.4262  0.3474 
   00023    0.4512   -1914.1140  0.3495 
   00024    0.4320   -1918.2639  0.3448 
   00025    0.4416   -1918.1639  0.3445 
   00026    0.4528   -1914.7788  0.3409 
   00027    0.4384   -1936.3478  0.3462 
   00028    0.4496   -1945.1334  0.3665 
   00029    0.4336   -1966.5305  0.3602 
   00030    0.4208   -1959.2822  0.3721 
   00031    0.4368   -1962.9809  0.3719 
   00032    0.4448   -1964.1684  0.3632 
   00033    0.4672   -1986.1664  0.3647 
   00034    0.4320   -1993.3551  0.3647 
   00035    0.4288   -1986.3563  0.3666 
   00036    0.4304   -1985.1399  0.3671 
   00037    0.4032   -1964.5619  0.3568 
   00038    0.4320   -1972.6027  0.3691 
   00039    0.4288   -1963.0113  0.3639 
   00040    0.4480   -1982.9593  0.3635 
   00041    0.4016   -1995.9135  0.3578 
   00042    0.4512   -1999.5697  0.3483 
   00043    0.3984   -2013.6954  0.3606 
   00044    0.4576   -2030.4060  0.3626 
   00045    0.4224   -2041.7624  0.3707 
   00046    0.4224   -2033.9644  0.3806 
   00047    0.4304   -2043.1225  0.3718 
   00048    0.4352   -2048.3445  0.3680 
   00049    0.4224   -2072.3729  0.3803 
   00050    0.4560   -2032.6960  0.3776 
