#=====================================================
# File created:        Sun-27-Oct-2024-at-12-03-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.422235
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2498.3486  0.2633 
   00001    0.6876   -3641.6924  0.2657 
   00002    0.6332   -4390.4852  0.2727 
   00003    0.5868   -4948.0212  0.2700 
   00004    0.5532   -5335.2493  0.2779 
   00005    0.5460   -5737.0109  0.2900 
   00006    0.5392   -6045.6029  0.2910 
   00007    0.5016   -6304.4805  0.2947 
   00008    0.5116   -6501.4791  0.2970 
   00009    0.4820   -6723.8933  0.2999 
   00010    0.4860   -6832.6330  0.3017 
   00011    0.4768   -6928.8261  0.3067 
   00012    0.4672   -7049.5322  0.3143 
   00013    0.4444   -7175.0478  0.3143 
   00014    0.4884   -7328.1782  0.3291 
   00015    0.4552   -7391.2856  0.3305 
   00016    0.4644   -7418.4012  0.3396 
   00017    0.4360   -7538.0404  0.3346 
   00018    0.4508   -7565.5978  0.3373 
   00019    0.4448   -7561.2533  0.3386 
   00020    0.4388   -7611.2643  0.3347 
   00021    0.4508   -7653.4612  0.3437 
   00022    0.4404   -7695.2580  0.3478 
   00023    0.4312   -7747.0346  0.3420 
   00024    0.4436   -7800.5015  0.3467 
   00025    0.4524   -7830.6916  0.3496 
   00026    0.4708   -7860.8588  0.3614 
   00027    0.4340   -7896.8704  0.3567 
   00028    0.4184   -7879.3309  0.3618 
   00029    0.4304   -7899.7282  0.3690 
   00030    0.4316   -7944.3181  0.3671 
   00031    0.4416   -7939.6829  0.3712 
   00032    0.4168   -7964.7358  0.3758 
   00033    0.4216   -8024.4504  0.3791 
   00034    0.4196   -8009.2864  0.3804 
   00035    0.4340   -8021.0830  0.3857 
   00036    0.4192   -8007.2608  0.3842 
   00037    0.4300   -8000.3929  0.3812 
   00038    0.4260   -8048.6485  0.3821 
   00039    0.4524   -8050.4758  0.3884 
   00040    0.4288   -8036.8551  0.3893 
   00041    0.4228   -8036.3777  0.3983 
   00042    0.4256   -8050.3267  0.4001 
   00043    0.4220   -8062.0300  0.4062 
   00044    0.4168   -8066.3102  0.3950 
   00045    0.4160   -8063.9363  0.3980 
   00046    0.4336   -8060.4079  0.4071 
   00047    0.4408   -8069.2835  0.4033 
   00048    0.4108   -8124.9051  0.4110 
   00049    0.4316   -8172.9616  0.4102 
   00050    0.4264   -8159.6683  0.4040 
