#=====================================================
# File created:        Tue-22-Oct-2024-at-02-51-26PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.879414
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -9881.3128  0.2554 
   00001    0.6775  -14582.9527  0.2589 
   00002    0.6297  -17725.8080  0.2513 
   00003    0.5828  -20072.7283  0.2630 
   00004    0.5525  -21863.6490  0.2666 
   00005    0.5355  -23214.4791  0.2730 
   00006    0.5221  -24331.1226  0.2728 
   00007    0.5059  -25401.3801  0.2742 
   00008    0.4941  -26249.3756  0.2716 
   00009    0.4849  -26856.0441  0.2713 
   00010    0.4851  -27464.9622  0.2697 
   00011    0.4680  -27909.2026  0.2717 
   00012    0.4720  -28405.6993  0.2703 
   00013    0.4711  -28815.2743  0.2707 
   00014    0.4608  -29074.1442  0.2729 
   00015    0.4513  -29213.3106  0.2721 
   00016    0.4629  -29576.4102  0.2743 
   00017    0.4649  -29787.7679  0.2733 
   00018    0.4388  -29913.2302  0.2749 
   00019    0.4514  -30123.5435  0.2770 
   00020    0.4549  -30241.3270  0.2786 
   00021    0.4475  -30412.1079  0.2802 
   00022    0.4576  -30662.3728  0.2800 
   00023    0.4433  -30708.4984  0.2811 
   00024    0.4382  -30840.0117  0.2820 
   00025    0.4446  -30889.6326  0.2820 
   00026    0.4382  -31130.4005  0.2858 
   00027    0.4361  -31224.2394  0.2872 
   00028    0.4379  -31314.9853  0.2892 
   00029    0.4314  -31395.7216  0.2870 
   00030    0.4378  -31413.9358  0.2870 
   00031    0.4354  -31511.7779  0.2858 
   00032    0.4345  -31683.1461  0.2864 
   00033    0.4279  -31741.1875  0.2876 
   00034    0.4314  -31796.2973  0.2870 
   00035    0.4299  -31867.6349  0.2877 
   00036    0.4229  -31864.2547  0.2890 
   00037    0.4392  -31844.6757  0.2860 
   00038    0.4327  -31891.6823  0.2888 
   00039    0.4259  -31970.7373  0.2882 
   00040    0.4320  -31997.1353  0.2890 
   00041    0.4353  -32013.3997  0.2847 
   00042    0.4299  -32089.9563  0.2880 
   00043    0.4357  -32134.2799  0.2898 
   00044    0.4273  -32140.2057  0.2887 
   00045    0.4354  -32124.2652  0.2855 
   00046    0.4367  -32163.0622  0.2821 
   00047    0.4273  -32160.5355  0.2851 
   00048    0.4279  -32236.2613  0.2878 
   00049    0.4292  -32203.5144  0.2876 
   00050    0.4410  -32156.7367  0.2896 
