#=====================================================
# File created:        Fri-18-Oct-2024-at-02-35-32PM
# Size of lattice:     45x45
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.497284
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2001.9542  0.2574 
   00001    0.6864   -2968.9305  0.2636 
   00002    0.6277   -3592.0717  0.2609 
   00003    0.5980   -4155.8870  0.2549 
   00004    0.5649   -4530.2180  0.2595 
   00005    0.5289   -4831.6947  0.2591 
   00006    0.5170   -5023.9912  0.2679 
   00007    0.4998   -5196.6504  0.2599 
   00008    0.5042   -5334.0976  0.2607 
   00009    0.4988   -5481.5427  0.2656 
   00010    0.4672   -5640.2657  0.2684 
   00011    0.4953   -5665.2047  0.2662 
   00012    0.4830   -5717.2145  0.2637 
   00013    0.4711   -5778.7204  0.2675 
   00014    0.4647   -5816.2682  0.2723 
   00015    0.4598   -5892.5614  0.2733 
   00016    0.4612   -5941.7920  0.2732 
   00017    0.4627   -6004.7082  0.2742 
   00018    0.4454   -6069.1821  0.2775 
   00019    0.4528   -6121.3553  0.2771 
   00020    0.4316   -6165.4245  0.2701 
   00021    0.4553   -6207.0176  0.2718 
   00022    0.4207   -6233.4070  0.2677 
   00023    0.4489   -6267.3994  0.2603 
   00024    0.4346   -6307.3309  0.2651 
   00025    0.4400   -6346.0607  0.2672 
   00026    0.4188   -6326.2144  0.2696 
   00027    0.4430   -6347.6149  0.2628 
   00028    0.4563   -6373.6566  0.2699 
   00029    0.4242   -6382.9585  0.2755 
   00030    0.4390   -6385.6549  0.2791 
   00031    0.4138   -6410.5786  0.2831 
   00032    0.4454   -6433.1296  0.2868 
   00033    0.4435   -6398.0500  0.2838 
   00034    0.4365   -6427.8652  0.2884 
   00035    0.4435   -6431.8190  0.2827 
   00036    0.4311   -6422.0100  0.2865 
   00037    0.4316   -6459.9379  0.2852 
   00038    0.4296   -6464.6442  0.2893 
   00039    0.4272   -6441.7708  0.2889 
   00040    0.4390   -6447.7035  0.2891 
   00041    0.4622   -6424.6973  0.2809 
   00042    0.4430   -6404.0942  0.2750 
   00043    0.4277   -6433.7513  0.2703 
   00044    0.4326   -6428.3114  0.2746 
   00045    0.4405   -6424.2008  0.2818 
   00046    0.4484   -6483.0767  0.2837 
   00047    0.4306   -6512.3742  0.2833 
   00048    0.4168   -6538.0437  0.2927 
   00049    0.4370   -6532.6886  0.2953 
   00050    0.4435   -6499.4862  0.2951 
