#=====================================================
# File created:        Mon-28-Oct-2024-at-11-06-39AM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        11.377197
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2483.5557  0.2653 
   00001    0.6908   -3666.5197  0.2621 
   00002    0.6420   -4451.7918  0.2748 
   00003    0.5952   -5074.1428  0.2896 
   00004    0.5528   -5549.7277  0.2997 
   00005    0.5188   -5976.6582  0.2993 
   00006    0.5064   -6226.9860  0.2975 
   00007    0.5004   -6428.3404  0.3087 
   00008    0.5004   -6577.1257  0.3011 
   00009    0.4936   -6771.0918  0.3044 
   00010    0.4784   -6857.9776  0.3054 
   00011    0.4900   -6974.5623  0.3024 
   00012    0.4712   -7069.8087  0.3008 
   00013    0.4616   -7127.9401  0.3001 
   00014    0.4732   -7187.3155  0.3050 
   00015    0.4588   -7268.6197  0.3040 
   00016    0.4664   -7362.1476  0.3099 
   00017    0.4536   -7406.1517  0.3070 
   00018    0.4500   -7449.0637  0.3106 
   00019    0.4504   -7508.2651  0.3064 
   00020    0.4532   -7582.0736  0.3068 
   00021    0.4588   -7652.5173  0.3135 
   00022    0.4192   -7676.7898  0.3080 
   00023    0.4400   -7781.9611  0.3115 
   00024    0.4136   -7735.8866  0.3058 
   00025    0.4396   -7716.2055  0.3121 
   00026    0.4440   -7796.0789  0.3153 
   00027    0.4416   -7822.8649  0.3106 
   00028    0.4424   -7865.7387  0.3019 
   00029    0.4372   -7871.4317  0.3006 
   00030    0.4436   -7915.2831  0.3025 
   00031    0.4348   -7900.8336  0.3036 
   00032    0.4300   -7908.6718  0.2980 
   00033    0.4304   -7913.6974  0.2991 
   00034    0.4428   -7888.0690  0.3022 
   00035    0.4372   -7919.2786  0.3072 
   00036    0.4352   -7939.3717  0.3062 
   00037    0.4480   -7911.9058  0.3006 
   00038    0.4348   -7938.6123  0.2989 
   00039    0.4232   -7964.4507  0.2968 
   00040    0.4264   -7960.8113  0.2900 
   00041    0.4364   -8004.1945  0.2876 
   00042    0.4312   -8063.6003  0.2799 
   00043    0.4364   -8046.0745  0.2796 
   00044    0.4264   -8033.6865  0.2837 
   00045    0.4212   -8035.5716  0.2952 
   00046    0.4244   -8027.8607  0.2965 
   00047    0.4288   -8055.7790  0.2929 
   00048    0.4196   -8069.6206  0.2914 
   00049    0.4172   -8066.6802  0.2964 
   00050    0.4308   -8061.7594  0.3030 
   00051    0.4180   -8108.5219  0.3047 
   00052    0.4376   -8115.8458  0.3167 
   00053    0.4368   -8166.2904  0.3114 
   00054    0.4208   -8216.7408  0.3118 
   00055    0.4184   -8235.4720  0.3100 
   00056    0.4436   -8215.1792  0.3118 
   00057    0.4148   -8201.1237  0.3163 
   00058    0.4188   -8201.1468  0.3195 
   00059    0.4192   -8238.3835  0.3251 
   00060    0.4412   -8212.1707  0.3226 
   00061    0.4248   -8256.5128  0.3258 
   00062    0.4208   -8237.9301  0.3294 
   00063    0.4368   -8203.2569  0.3228 
   00064    0.4156   -8172.3377  0.3225 
   00065    0.4376   -8185.7586  0.3233 
   00066    0.4372   -8166.2400  0.3244 
   00067    0.4348   -8151.0334  0.3244 
   00068    0.4180   -8171.3194  0.3347 
   00069    0.4196   -8177.3187  0.3327 
   00070    0.4100   -8185.9697  0.3385 
   00071    0.4256   -8247.5013  0.3407 
   00072    0.4324   -8254.6226  0.3397 
   00073    0.4176   -8277.0477  0.3391 
   00074    0.4336   -8320.9906  0.3407 
   00075    0.4112   -8301.7580  0.3406 
   00076    0.3996   -8306.9161  0.3451 
   00077    0.4084   -8304.0195  0.3516 
   00078    0.4136   -8300.0157  0.3520 
   00079    0.4068   -8308.6546  0.3498 
   00080    0.4208   -8303.7801  0.3495 
   00081    0.4092   -8229.4898  0.3571 
   00082    0.4312   -8269.8458  0.3594 
   00083    0.4208   -8284.0640  0.3538 
   00084    0.4168   -8294.5280  0.3543 
   00085    0.4148   -8301.3303  0.3580 
   00086    0.4196   -8297.3527  0.3580 
   00087    0.4260   -8352.0542  0.3643 
   00088    0.4120   -8318.7890  0.3633 
   00089    0.4220   -8331.1368  0.3646 
   00090    0.4256   -8315.1748  0.3635 
   00091    0.4184   -8328.5986  0.3650 
   00092    0.4216   -8339.4265  0.3640 
   00093    0.4108   -8308.8091  0.3702 
   00094    0.4400   -8314.4394  0.3719 
   00095    0.4052   -8306.1986  0.3723 
   00096    0.4208   -8329.9691  0.3698 
   00097    0.4032   -8315.2741  0.3660 
   00098    0.4248   -8321.6806  0.3701 
   00099    0.4076   -8306.8276  0.3711 
   00100    0.4196   -8347.4625  0.3733 
   00101    0.4044   -8368.8974  0.3747 
   00102    0.4076   -8412.4182  0.3705 
   00103    0.4104   -8393.0457  0.3709 
   00104    0.4184   -8383.1253  0.3752 
   00105    0.4100   -8370.5654  0.3700 
   00106    0.4088   -8355.5009  0.3736 
   00107    0.4148   -8361.5210  0.3747 
   00108    0.4356   -8368.8420  0.3753 
   00109    0.4092   -8368.4420  0.3823 
   00110    0.4032   -8374.4469  0.3852 
   00111    0.4152   -8381.3938  0.3844 
   00112    0.4168   -8426.9205  0.3848 
   00113    0.4020   -8416.1574  0.3941 
   00114    0.4212   -8421.9259  0.3897 
   00115    0.4256   -8375.4934  0.3874 
   00116    0.4192   -8370.7436  0.3833 
   00117    0.4228   -8389.9543  0.3848 
   00118    0.4232   -8373.4465  0.3836 
   00119    0.4212   -8420.2900  0.3877 
   00120    0.4076   -8423.0641  0.3840 
   00121    0.4076   -8425.3862  0.3868 
   00122    0.4048   -8463.6042  0.3872 
   00123    0.4000   -8419.3826  0.3874 
   00124    0.4152   -8422.7133  0.3922 
