#=====================================================
# File created:        Sun-27-Oct-2024-at-12-03-50PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.708116
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2370.2085  0.2600 
   00001    0.7076   -3110.9071  0.2725 
   00002    0.6708   -3647.6250  0.2805 
   00003    0.6360   -4152.3477  0.2666 
   00004    0.5980   -4507.9763  0.2626 
   00005    0.5704   -4767.1822  0.2687 
   00006    0.5828   -4995.2032  0.2684 
   00007    0.5588   -5176.1052  0.2693 
   00008    0.5468   -5355.0763  0.2746 
   00009    0.5408   -5594.8584  0.2827 
   00010    0.5152   -5771.7199  0.2863 
   00011    0.5428   -5939.1973  0.2883 
   00012    0.5112   -6055.7586  0.2899 
   00013    0.5192   -6199.4952  0.2853 
   00014    0.5152   -6333.8058  0.2900 
   00015    0.4960   -6387.5384  0.2855 
   00016    0.5144   -6433.7728  0.2753 
   00017    0.4884   -6536.6991  0.2760 
   00018    0.4900   -6570.5128  0.2759 
   00019    0.4868   -6693.2081  0.2784 
   00020    0.4944   -6752.1841  0.2827 
   00021    0.4860   -6825.9381  0.2850 
   00022    0.4684   -6899.0999  0.2842 
   00023    0.4724   -6955.3124  0.2855 
   00024    0.4556   -6996.5198  0.2872 
   00025    0.4720   -7005.6516  0.2868 
   00026    0.4592   -7061.7244  0.2886 
   00027    0.4772   -7116.6535  0.2885 
   00028    0.4636   -7133.9348  0.2883 
   00029    0.4740   -7170.6583  0.2847 
   00030    0.4592   -7227.2245  0.2814 
   00031    0.4600   -7254.1443  0.2852 
   00032    0.4748   -7260.3064  0.2825 
   00033    0.4604   -7314.5003  0.2785 
   00034    0.4592   -7282.4984  0.2841 
   00035    0.4520   -7302.8820  0.2835 
   00036    0.4564   -7350.5191  0.2878 
   00037    0.4520   -7378.6307  0.2878 
   00038    0.4376   -7350.8303  0.2947 
   00039    0.4632   -7383.9498  0.2956 
   00040    0.4440   -7420.9819  0.2906 
   00041    0.4552   -7440.7928  0.2902 
   00042    0.4448   -7409.2937  0.2904 
   00043    0.4340   -7463.8365  0.2833 
   00044    0.4540   -7494.3814  0.2842 
   00045    0.4392   -7538.1087  0.2852 
   00046    0.4460   -7551.0661  0.2818 
   00047    0.4536   -7590.8244  0.2833 
   00048    0.4568   -7570.6736  0.2844 
   00049    0.4504   -7658.2611  0.2838 
   00050    0.4452   -7712.7269  0.2784 
