#=====================================================
# File created:        Tue-22-Oct-2024-at-03-56-17PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        3.505797
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#================t====================================
   00000    0.5000   -2498.5458  0.2576 
   00001    0.6896   -3799.6946  0.2625 
   00002    0.6272   -4240.3610  0.2605 
   00003    0.5792   -4783.3151  0.2648 
   00004    0.5564   -4970.7361  0.2717 
   00005    0.5800   -5124.7069  0.2702 
   00006    0.5520   -5151.9345  0.2713 
   00007    0.5564   -5376.9513  0.2760 
   00008    0.5264   -5409.8478  0.2740 
   00009    0.5252   -5416.2267  0.2855 
   00010    0.5284   -5456.7035  0.2814 
   00011    0.5140   -5599.2486  0.2846 
   00012    0.4984   -5697.7137  0.2909 
   00013    0.5064   -5754.5623  0.2864 
   00014    0.4940   -5801.8577  0.2884 
   00015    0.5024   -5759.1401  0.2863 
   00016    0.4876   -5845.8346  0.2772 
   00017    0.5092   -5800.7465  0.2780 
   00018    0.4972   -5749.8459  0.2683 
   00019    0.4972   -5741.5231  0.2674 
   00020    0.5376   -5637.0946  0.2626 
   00021    0.5064   -5673.2725  0.2529 
   00022    0.4980   -5689.4831  0.2624 
   00023    0.5140   -5741.7827  0.2566 
   00024    0.5072   -5756.2499  0.2611 
   00025    0.4900   -5776.4490  0.2651 
   00026    0.5084   -5747.1193  0.2562 
   00027    0.5108   -5791.4834  0.2541 
   00028    0.4816   -5872.5382  0.2590 
   00029    0.4984   -5836.2154  0.2618 
   00030    0.4764   -5825.2223  0.2578 
   00031    0.5028   -5691.4857  0.2762 
   00032    0.5176   -5702.6863  0.2696 
   00033    0.5088   -5724.4612  0.2656 
   00034    0.4996   -5650.2072  0.2581 
   00035    0.4864   -5744.2337  0.2521 
   00036    0.5164   -5699.3536  0.2602 
   00037    0.4936   -5756.1912  0.2748 
   00038    0.5084   -5665.1807  0.2733 
   00039    0.4888   -5804.8611  0.2678 
   00040    0.5008   -5740.0217  0.2691 
   00041    0.5228   -5779.4357  0.2810 
   00042    0.5132   -5782.9273  0.2870 
   00043    0.5140   -5796.4888  0.2848 
   00044    0.5132   -5821.0701  0.3053 
   00045    0.4944   -5932.7329  0.3121 
   00046    0.4752   -5824.0554  0.3164 
   00047    0.5084   -5926.1993  0.3218 
   00048    0.4856   -5893.7379  0.3254 
   00049    0.5108   -5856.0425  0.3306 
   00050    0.4892   -5851.3558  0.3262 
   00051    0.4848   -6001.5999  0.3276 
   00052    0.4972   -5951.6158  0.3279 
   00053    0.4924   -5935.3702  0.3277 
   00054    0.5092   -5963.3670  0.3218 
   00055    0.4964   -5955.4949  0.3257 
   00056    0.5044   -5870.9601  0.3231 
   00057    0.5080   -5882.3396  0.3195 
   00058    0.5112   -5855.4913  0.3273 
   00059    0.4976   -5917.7179  0.3235 
   00060    0.5012   -5846.3005  0.3291 
   00061    0.4960   -5957.0916  0.3372 
   00062    0.5008   -6076.2130  0.3531 
   00063    0.4848   -6055.4805  0.3449 
   00064    0.4760   -6101.0393  0.3371 
   00065    0.4872   -6130.5036  0.3362 
   00066    0.4768   -6101.9705  0.3369 
   00067    0.4884   -6110.5826  0.3269 
   00068    0.4832   -6096.0451  0.3346 
   00069    0.4760   -6076.7204  0.3393 
   00070    0.4836   -6037.2174  0.3337 
   00071    0.4912   -6098.6161  0.3320 
   00072    0.4656   -5983.8466  0.3316 
   00073    0.5040   -5986.5176  0.3155 
   00074    0.4932   -5876.0214  0.3069 
   00075    0.5020   -5820.1733  0.3010 
   00076    0.4928   -5762.1366  0.3109 
   00077    0.5020   -5825.4736  0.3063 
   00078    0.4940   -5841.9698  0.2984 
   00079    0.4920   -5954.0432  0.2970 
   00080    0.4760   -5985.1057  0.2974 
   00081    0.5024   -5987.8526  0.2941 
   00082    0.4828   -5909.2134  0.2896 
   00083    0.5004   -5908.9995  0.2836 
   00084    0.4788   -5905.1494  0.2941 
   00085    0.4956   -5922.0926  0.2979 
   00086    0.4996   -5795.4722  0.2846 
   00087    0.5036   -5832.0852  0.2812 
   00088    0.5028   -5884.4110  0.2881 
   00089    0.4780   -5962.0525  0.2929 
   00090    0.4952   -5961.4717  0.2872 
   00091    0.4920   -5949.7863  0.2936 
   00092    0.4808   -5938.8783  0.3004 
   00093    0.4656   -5964.6429  0.3113 
   00094    0.5160   -5901.2061  0.2999 
   00095    0.5024   -5924.3045  0.3078 
   00096    0.4988   -5939.6177  0.3102 
   00097    0.4976   -5843.0241  0.3195 
   00098    0.4872   -5917.8384  0.3189 
   00099    0.4956   -5955.6007  0.3109 
   00100    0.4992   -5961.6999  0.3065 
